X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
0,0,0,0,0,0,0,0,0,0,0,0,0,6.601E-119,1.3027E-119,4.3075E-122
0,0,0,0,0,0,0,0,0,0,0,0,0,1.9008E-121,3.0796E-127,4.4388E-121
0,0,1.99864E-53,3.36681E-78,1.31221E-74,6.53584E-69,4.79351E-53,4.2758E-52,9.1084E-51,3.46898E-56,6.38689E-58,2.51189E-58,2.96879E-78,5.76958E-82,1.8195E-102,2.9881E-140
0,0,0.006034521,0.671160398,0.551390534,0.115222319,0.116408225,0.153943147,0.153225814,0.018733074,0.105250136,0.050856767,0.001191925,8.39855E-06,8.58065E-66,2.32652E-80
0,0,1.73348E-32,0.263115379,0.584023277,0.216600842,0.27577907,0.361482995,0.282418664,0.273377966,0.130988377,0.075332186,0.00536186,3.9769E-06,1.46393E-06,1.73768E-88
0,0,0.003213085,0.05932848,0.594976195,0.642270667,0.528363642,0.505795285,0.367802049,0.539022399,0.267491756,0.17790806,0.019446819,2.5157E-05,7.62543E-06,4.02993E-89
0,0,0.036824097,0.139449317,0.437268088,0.584573499,1.100227329,0.733277418,1.055593335,0.358308686,0.365406397,0.06743908,0.022935353,6.38158E-06,4.48297E-43,1.65757E-60
0,0,2.02502E-38,0.207363377,0.171023132,0.218846962,0.305923909,0.850699195,0.785155706,0.364718827,0.317112282,0.109082673,0.004603743,1.473E-06,1.47502E-06,4.87542E-70
0,0,2.87009E-17,0.323196975,0.601653388,0.348332222,0.211879374,0.591483645,0.531412856,0.792895892,0.31979428,0.093767316,0.006171254,5.51479E-06,2.06965E-06,1.25383E-05
0,0,0.006658431,0.13389593,0.172471074,0.395867965,0.425289588,0.701089508,0.779194962,0.582594879,0.363626491,0.192410383,0.009785751,4.42345E-06,9.92583E-07,8.9862E-18
0,0,4.71979E-27,0.078567507,0.365842871,0.383155091,0.314648439,0.450705177,0.684702851,0.82441296,0.530585854,0.364194674,0.012958872,6.36846E-06,3.82502E-06,6.40955E-06
0,0,0.003412341,0.051972118,0.115598315,0.175479515,0.27168457,0.239593233,0.449749993,0.398201102,0.230523692,0.130278347,0.013411868,2.26318E-06,1.0894E-23,2.19712E-06
0,0,0.000761143,0.007905945,0.013393818,0.017959665,0.022284578,0.031010106,0.02667441,0.00975328,0.020348973,0.01584189,0.000889798,2.08854E-05,1.43363E-22,4.51498E-06
2.61341E-42,8.07674E-56,3.50828E-05,3.53204E-05,2.5017E-05,4.52615E-05,5.52323E-05,2.5139E-05,3.54323E-05,9.53854E-05,0.000135693,4.53809E-05,7.55236E-05,5.555E-06,1.52909E-05,3.56249E-05
1.5929E-153,1.1318E-119,4.81441E-91,1.29144E-63,0.000399821,2.3454E-58,2.08921E-65,4.13586E-62,3.86383E-53,1.75437E-51,9.10663E-05,9.14881E-05,1.5028E-56,4.23154E-40,1.78072E-50,9.13167E-05
5.5348E-143,4.6221E-125,2.9705E-121,4.41098E-78,3.11341E-87,7.07966E-90,1.4959E-113,1.1163E-122,5.5715E-124,2.86719E-95,3.46666E-69,6.49352E-67,5.2303E-112,2.3233E-138,1.4009E-110,1.66944E-98
