S,E,I,R,N,A,C,D,H,L,Qi,Qa,S_0,E_0,I_0,R_0,N_0,A_0,C_0,D_0,H_0,L_0,Qi_0,Qa_0,S_1,E_1,I_1,R_1,N_1,A_1,C_1,D_1,H_1,L_1,Qi_1,Qa_1,S_2,E_2,I_2,R_2,N_2,A_2,C_2,D_2,H_2,L_2,Qi_2,Qa_2,S_3,E_3,I_3,R_3,N_3,A_3,C_3,D_3,H_3,L_3,Qi_3,Qa_3,S_4,E_4,I_4,R_4,N_4,A_4,C_4,D_4,H_4,L_4,Qi_4,Qa_4,S_5,E_5,I_5,R_5,N_5,A_5,C_5,D_5,H_5,L_5,Qi_5,Qa_5,S_6,E_6,I_6,R_6,N_6,A_6,C_6,D_6,H_6,L_6,Qi_6,Qa_6,S_7,E_7,I_7,R_7,N_7,A_7,C_7,D_7,H_7,L_7,Qi_7,Qa_7,S_8,E_8,I_8,R_8,N_8,A_8,C_8,D_8,H_8,L_8,Qi_8,Qa_8,S_9,E_9,I_9,R_9,N_9,A_9,C_9,D_9,H_9,L_9,Qi_9,Qa_9,S_10,E_10,I_10,R_10,N_10,A_10,C_10,D_10,H_10,L_10,Qi_10,Qa_10,S_11,E_11,I_11,R_11,N_11,A_11,C_11,D_11,H_11,L_11,Qi_11,Qa_11,S_12,E_12,I_12,R_12,N_12,A_12,C_12,D_12,H_12,L_12,Qi_12,Qa_12,S_13,E_13,I_13,R_13,N_13,A_13,C_13,D_13,H_13,L_13,Qi_13,Qa_13,S_14,E_14,I_14,R_14,N_14,A_14,C_14,D_14,H_14,L_14,Qi_14,Qa_14,S_15,E_15,I_15,R_15,N_15,A_15,C_15,D_15,H_15,L_15,Qi_15,Qa_15,Ri,Ri_0,Ri_1,Ri_2,Ri_3,Ri_4,Ri_5,Ri_6,Ri_7,Ri_8,Ri_9,Ri_10,Ri_11,Ri_12,Ri_13,Ri_14,Ri_15,
9999989.565981,2.434019,1.000000,1.000000,9999993.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,708999.827428,0.172572,0.000000,0.000000,709000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,696999.830349,0.169651,0.000000,0.000000,697000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,727999.822803,0.177197,0.000000,0.000000,728000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,787999.808199,0.191801,0.000000,0.000000,788000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,828998.798220,0.201780,0.000000,0.000000,828999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,817998.800897,0.199103,0.000000,0.000000,817999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,828998.798220,0.201780,0.000000,0.000000,828999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,799999.805278,0.194722,0.000000,0.000000,800000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,713998.826211,0.173789,0.000000,0.000000,713999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,636998.844953,0.155047,0.000000,0.000000,636999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,589998.856393,0.143607,0.000000,0.000000,589999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,515999.874405,0.125595,0.000000,0.000000,516000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,421998.897285,0.102715,0.000000,0.000000,421999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,326998.920408,0.079592,1.000000,1.000000,327000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,236999.942314,0.057686,0.000000,0.000000,237000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,358999.912619,0.087381,0.000000,0.000000,359000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
9999988.955023,2.703675,0.876591,1.193756,9999992.999672,0.249473,0.000328,0.000000,0.021153,0.007050,0.000000,0.000000,708999.824986,0.153352,0.000633,0.001885,709000.000000,0.019144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,696999.825968,0.152613,0.000633,0.001860,697000.000000,0.018925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,727999.815581,0.161882,0.000609,0.001953,728000.000000,0.019974,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,787999.791201,0.183836,0.000683,0.002146,788000.000000,0.022133,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,828998.778195,0.195416,0.000809,0.002265,828999.000000,0.023313,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,817998.771365,0.201997,0.001290,0.002269,817999.000000,0.023077,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,828998.759601,0.212867,0.002460,0.002331,828999.000000,0.022733,0.000000,0.000000,0.000008,0.000003,0.000000,0.000000,799999.757137,0.215622,0.003929,0.002288,800000.000000,0.021012,0.000000,0.000000,0.000012,0.000004,0.000000,0.000000,713998.773204,0.201867,0.005005,0.002077,713999.000000,0.017827,0.000000,0.000000,0.000019,0.000006,0.000000,0.000000,636998.796181,0.181490,0.005387,0.001858,636999.000000,0.015063,0.000000,0.000000,0.000021,0.000007,0.000000,0.000000,589998.801769,0.176968,0.005842,0.001754,589999.000000,0.013623,0.000000,0.000000,0.000045,0.000015,0.000000,0.000000,515999.818830,0.162078,0.006240,0.001562,516000.000000,0.011241,0.000000,0.000000,0.000047,0.000016,0.000000,0.000000,421998.844269,0.139627,0.006891,0.001306,421998.999999,0.007829,0.000001,0.000000,0.000078,0.000026,0.000000,0.000000,326998.847918,0.137595,0.822077,1.166252,326999.999679,0.005418,0.000321,0.000000,0.020419,0.006806,0.000000,0.000000,236999.887076,0.102276,0.006039,0.000823,236999.999998,0.003574,0.000002,0.000000,0.000210,0.000070,0.000000,0.000000,358999.861741,0.124189,0.008061,0.001128,358999.999995,0.004586,0.000005,0.000000,0.000290,0.000097,0.000000,0.000000,0.170718,0.000060,0.000060,0.000058,0.000064,0.000076,0.000120,0.000228,0.000361,0.000456,0.000490,0.000528,0.000560,0.000614,0.165793,0.000522,0.000726,
9999988.244797,3.032734,0.793586,1.414087,9999992.998790,0.476142,0.001210,0.000000,0.037445,0.012480,0.000000,0.000000,708999.822190,0.136860,0.001091,0.006841,709000.000000,0.033017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,696999.821064,0.138188,0.001100,0.006780,697000.000000,0.032868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,727999.807520,0.149261,0.001067,0.007155,728000.000000,0.034996,0.000000,0.000000,0.000002,0.000001,0.000000,0.000000,787999.771761,0.179149,0.001229,0.007998,788000.000000,0.039861,0.000000,0.000000,0.000002,0.000001,0.000000,0.000000,828998.754573,0.193214,0.001466,0.008474,828999.000000,0.042270,0.000000,0.000000,0.000003,0.000001,0.000000,0.000000,817998.735975,0.210017,0.002400,0.008632,817999.000000,0.042971,0.000000,0.000000,0.000004,0.000001,0.000000,0.000000,828998.713307,0.229761,0.004668,0.008987,828999.000000,0.043248,0.000000,0.000000,0.000029,0.000010,0.000000,0.000000,799999.699541,0.242774,0.007649,0.008973,800000.000000,0.041017,0.000000,0.000000,0.000046,0.000015,0.000000,0.000000,713998.709401,0.236560,0.009988,0.008285,713999.000000,0.035692,0.000000,0.000000,0.000074,0.000025,0.000000,0.000000,636998.737267,0.214137,0.010796,0.007432,636999.000000,0.030287,0.000000,0.000000,0.000080,0.000027,0.000000,0.000000,589998.735718,0.216876,0.011978,0.007141,589998.999998,0.028112,0.000002,0.000000,0.000174,0.000058,0.000000,0.000000,515999.753038,0.203587,0.013056,0.006459,515999.999998,0.023670,0.000002,0.000000,0.000188,0.000063,0.000000,0.000000,421998.783613,0.179099,0.014666,0.005484,421998.999994,0.016821,0.000006,0.000000,0.000311,0.000104,0.000000,0.000000,326998.769827,0.193627,0.681274,1.306903,326999.998852,0.012746,0.001148,0.000000,0.034475,0.011490,0.000000,0.000000,236999.825511,0.147242,0.014035,0.003755,236999.999985,0.008536,0.000015,0.000000,0.000905,0.000302,0.000000,0.000000,358999.804490,0.162384,0.017122,0.004788,358999.999964,0.010029,0.000036,0.000000,0.001151,0.000384,0.000000,0.000000,0.325017,0.000219,0.000220,0.000212,0.000239,0.000284,0.000457,0.000879,0.001416,0.001819,0.001961,0.002150,0.002312,0.002576,0.304824,0.002376,0.003073,
9999987.427513,3.421108,0.744690,1.664020,9999992.997472,0.689621,0.002528,0.000000,0.050519,0.016838,0.000000,0.000000,708999.819027,0.122766,0.001415,0.013996,709000.000000,0.042796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,696999.815661,0.126028,0.001437,0.013934,697000.000000,0.042940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,727999.798683,0.138939,0.001406,0.014789,728000.000000,0.046180,0.000000,0.000000,0.000004,0.000001,0.000000,0.000000,787999.749981,0.177235,0.001672,0.016837,788000.000000,0.054270,0.000000,0.000000,0.000005,0.000002,0.000000,0.000000,828998.727291,0.194714,0.002012,0.017924,828999.000000,0.058053,0.000000,0.000000,0.000006,0.000002,0.000000,0.000000,817998.694471,0.222766,0.003392,0.018586,817999.000000,0.060775,0.000000,0.000000,0.000009,0.000003,0.000000,0.000000,828998.658947,0.252107,0.006732,0.019626,828999.000000,0.062528,0.000000,0.000000,0.000060,0.000020,0.000000,0.000000,799999.631898,0.275956,0.011312,0.019926,800000.000000,0.060808,0.000000,0.000000,0.000099,0.000033,0.000000,0.000000,713998.634134,0.277670,0.015125,0.018705,713998.999999,0.054204,0.000001,0.000000,0.000161,0.000054,0.000000,0.000000,636998.667640,0.252754,0.016418,0.016826,636998.999999,0.046188,0.000001,0.000000,0.000174,0.000058,0.000000,0.000000,589998.657557,0.263155,0.018589,0.016437,589998.999995,0.043872,0.000005,0.000000,0.000384,0.000128,0.000000,0.000000,515999.676342,0.250139,0.020562,0.015050,515999.999994,0.037482,0.000006,0.000000,0.000419,0.000140,0.000000,0.000000,421998.714512,0.221567,0.023319,0.012922,421998.999979,0.026961,0.000021,0.000000,0.000697,0.000232,0.000000,0.000000,326998.684754,0.249226,0.570612,1.427689,326999.997682,0.021610,0.002318,0.000000,0.043792,0.014596,0.000000,0.000000,236999.756532,0.193557,0.023608,0.009408,236999.999947,0.014696,0.000053,0.000000,0.002146,0.000715,0.000000,0.000000,358999.740082,0.202528,0.027080,0.011365,358999.999878,0.016260,0.000122,0.000000,0.002564,0.000855,0.000000,0.000000,0.469156,0.000448,0.000451,0.000438,0.000504,0.000602,0.000984,0.001919,0.003142,0.004105,0.004438,0.004944,0.005383,0.006063,0.422517,0.005939,0.007279,
9999986.493036,3.870921,0.725052,1.947325,9999992.995791,0.897819,0.004209,0.000000,0.061638,0.020544,0.000000,0.000000,708999.815475,0.110795,0.001634,0.022673,709000.000000,0.049423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,696999.809757,0.115852,0.001675,0.022683,697000.000000,0.050033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,727999.789093,0.130608,0.001655,0.024224,728000.000000,0.054413,0.000000,0.000000,0.000006,0.000002,0.000000,0.000000,787999.725874,0.177740,0.002038,0.028127,788000.000000,0.066213,0.000000,0.000000,0.000008,0.000003,0.000000,0.000000,828998.696179,0.199616,0.002480,0.030112,828999.000000,0.071604,0.000000,0.000000,0.000009,0.000003,0.000000,0.000000,817998.646441,0.240041,0.004315,0.031820,817999.000000,0.077368,0.000000,0.000000,0.000015,0.000005,0.000000,0.000000,828998.595929,0.279781,0.008741,0.034081,828998.999999,0.081367,0.000001,0.000000,0.000100,0.000033,0.000000,0.000000,799999.553383,0.315192,0.015044,0.035174,799999.999999,0.081038,0.000001,0.000000,0.000167,0.000056,0.000000,0.000000,713998.546475,0.325270,0.020561,0.033546,713998.999997,0.073868,0.000003,0.000000,0.000277,0.000092,0.000000,0.000000,636998.586479,0.297366,0.022405,0.030259,636998.999997,0.063188,0.000003,0.000000,0.000301,0.000100,0.000000,0.000000,589998.566332,0.315911,0.025824,0.030013,589998.999988,0.061235,0.000012,0.000000,0.000673,0.000224,0.000000,0.000000,515999.587810,0.301983,0.028858,0.027746,515999.999987,0.052849,0.000013,0.000000,0.000741,0.000247,0.000000,0.000000,421998.635996,0.267568,0.032872,0.024008,421998.999951,0.038271,0.000049,0.000000,0.001236,0.000412,0.000000,0.000000,326998.591245,0.305810,0.484513,1.533322,326999.996290,0.031769,0.003710,0.000000,0.049631,0.016542,0.000000,0.000000,236999.678964,0.242154,0.034535,0.018316,236999.999869,0.021935,0.000131,0.000000,0.003965,0.001322,0.000000,0.000000,358999.667606,0.245233,0.037902,0.021221,358999.999714,0.023245,0.000286,0.000000,0.004508,0.001502,0.000000,0.000000,0.608558,0.000726,0.000735,0.000717,0.000842,0.001011,0.001685,0.003331,0.005545,0.007360,0.007977,0.009020,0.009916,0.011254,0.523330,0.011543,0.013566,
9999985.437745,4.377740,0.697561,2.268436,9999992.993787,1.066397,0.006213,0.000000,0.071772,0.023921,0.033336,0.040799,708999.811530,0.100683,0.001704,0.032357,709000.000000,0.051556,0.000000,0.000000,0.000000,0.000000,0.000069,0.002100,696999.803385,0.107383,0.001765,0.032538,697000.000000,0.052720,0.000000,0.000000,0.000000,0.000000,0.000072,0.002137,727999.778824,0.123950,0.001764,0.034978,728000.000000,0.058064,0.000000,0.000000,0.000009,0.000003,0.000072,0.002339,787999.699585,0.180222,0.002258,0.041471,788000.000000,0.073459,0.000000,0.000000,0.000011,0.000004,0.000090,0.002904,828998.661243,0.207485,0.002785,0.044692,828999.000000,0.080510,0.000000,0.000000,0.000013,0.000004,0.000110,0.003161,817998.591750,0.261397,0.005014,0.048171,817999.000000,0.089975,0.000000,0.000000,0.000022,0.000007,0.000196,0.003476,828998.524034,0.312315,0.010356,0.052331,828998.999999,0.096707,0.000001,0.000000,0.000148,0.000049,0.000409,0.003698,799999.463656,0.360032,0.018233,0.054870,799999.999998,0.098514,0.000002,0.000000,0.000251,0.000084,0.000713,0.003728,713998.446034,0.378902,0.025421,0.053125,713998.999995,0.091661,0.000005,0.000000,0.000423,0.000141,0.000993,0.003436,636998.493460,0.347516,0.027799,0.048046,636998.999995,0.078684,0.000005,0.000000,0.000460,0.000153,0.001084,0.002945,589998.461644,0.374692,0.032495,0.048320,589998.999977,0.077596,0.000023,0.000000,0.001041,0.000347,0.001308,0.002881,515999.487089,0.358772,0.036562,0.045006,515999.999974,0.067426,0.000026,0.000000,0.001155,0.000385,0.001467,0.002496,421998.547696,0.316993,0.041627,0.039141,421998.999904,0.048975,0.000096,0.000000,0.001928,0.000643,0.001734,0.001811,326998.488745,0.363755,0.398183,1.627709,326999.994763,0.041553,0.005237,0.000000,0.052970,0.017655,0.020326,0.001522,236999.592331,0.293178,0.044434,0.030971,236999.999736,0.029125,0.000264,0.000000,0.006379,0.002126,0.002259,0.001060,358999.586741,0.290466,0.047159,0.034710,358999.999445,0.029871,0.000555,0.000000,0.006963,0.002321,0.002433,0.001103,0.748002,0.001035,0.001054,0.001035,0.001241,0.001500,0.002551,0.005113,0.008647,0.011651,0.012662,0.014512,0.016076,0.018334,0.610950,0.019490,0.022152,
9999984.257028,4.938967,0.699103,2.632267,9999992.991477,1.240593,0.008523,0.000000,0.081666,0.027219,0.059926,0.081927,708999.807187,0.092204,0.001725,0.042657,709000.000000,0.052191,0.000000,0.000000,0.000000,0.000000,0.000129,0.003907,696999.796561,0.100393,0.001807,0.043130,697000.000000,0.053977,0.000000,0.000000,0.000000,0.000000,0.000134,0.003999,727999.767923,0.118713,0.001830,0.046685,728000.000000,0.060292,0.000000,0.000000,0.000011,0.000004,0.000135,0.004409,787999.671212,0.184347,0.002446,0.056585,788000.000000,0.079621,0.000000,0.000000,0.000014,0.000005,0.000174,0.005601,828998.622445,0.217991,0.003065,0.061442,828999.000000,0.088674,0.000000,0.000000,0.000017,0.000006,0.000215,0.006150,817998.530210,0.286509,0.005716,0.067595,817999.000000,0.102653,0.000000,0.000000,0.000029,0.000010,0.000388,0.006899,828998.442976,0.349381,0.012039,0.074465,828998.999998,0.112684,0.000002,0.000000,0.000203,0.000068,0.000819,0.007432,799999.362303,0.410180,0.021647,0.079266,799999.999997,0.117217,0.000003,0.000000,0.000350,0.000117,0.001446,0.007588,713998.332345,0.438266,0.030731,0.077841,713998.999992,0.111103,0.000008,0.000000,0.000597,0.000199,0.002034,0.007075,636998.388185,0.402903,0.033711,0.070570,636998.999991,0.095670,0.000009,0.000000,0.000651,0.000217,0.002225,0.006075,589998.343022,0.439207,0.039905,0.071866,589998.999960,0.095772,0.000040,0.000000,0.001490,0.000497,0.002697,0.006001,515999.373741,0.420320,0.045087,0.067322,515999.999956,0.083570,0.000044,0.000000,0.001665,0.000555,0.003036,0.005216,421998.449161,0.369853,0.051226,0.058730,421998.999835,0.060733,0.000165,0.000000,0.002772,0.000924,0.003572,0.003788,326998.376586,0.423539,0.335513,1.714100,326999.993166,0.052194,0.006834,0.000000,0.054559,0.018185,0.033458,0.003217,236999.496087,0.346857,0.055382,0.047834,236999.999534,0.037125,0.000466,0.000000,0.009392,0.003130,0.004599,0.002259,358999.497085,0.338303,0.057273,0.052180,358999.999049,0.037118,0.000951,0.000000,0.009915,0.003305,0.004865,0.002311,0.891738,0.001365,0.001397,0.001382,0.001694,0.002062,0.003579,0.007273,0.012488,0.017066,0.018593,0.021572,0.024034,0.027490,0.688429,0.030062,0.033253,
9999982.936315,5.561481,0.724853,3.044098,9999992.988857,1.424313,0.011143,0.000000,0.091892,0.030628,0.082259,0.123647,708999.802398,0.085200,0.001713,0.053285,709000.000000,0.051808,0.000000,0.000000,0.000000,0.000000,0.000179,0.005417,696999.789234,0.094746,0.001816,0.054182,697000.000000,0.054254,0.000000,0.000000,0.000000,0.000000,0.000187,0.005582,727999.756330,0.114779,0.001867,0.059072,728000.000000,0.061542,0.000000,0.000000,0.000014,0.000005,0.000190,0.006207,787999.640590,0.190065,0.002612,0.073266,788000.000000,0.085107,0.000000,0.000000,0.000017,0.000006,0.000251,0.008092,828998.579422,0.231149,0.003336,0.080235,828999.000000,0.096550,0.000000,0.000000,0.000021,0.000007,0.000313,0.008974,817998.461135,0.315556,0.006446,0.090137,817998.999999,0.115822,0.000001,0.000000,0.000038,0.000013,0.000578,0.010289,828998.351811,0.391301,0.013829,0.100659,828998.999997,0.129671,0.000003,0.000000,0.000264,0.000088,0.001233,0.011229,799999.248089,0.466134,0.025342,0.108693,799999.999995,0.137455,0.000005,0.000000,0.000463,0.000154,0.002205,0.011614,713998.204029,0.503941,0.036554,0.108152,713998.999987,0.132419,0.000013,0.000000,0.000802,0.000267,0.003136,0.010955,636998.269417,0.464033,0.040204,0.098269,636998.999986,0.114323,0.000014,0.000000,0.000876,0.000292,0.003437,0.009425,589998.209046,0.510072,0.048106,0.101203,589998.999937,0.115899,0.000063,0.000000,0.002024,0.000675,0.004188,0.009399,515999.246393,0.487318,0.054469,0.095209,515999.999930,0.101355,0.000070,0.000000,0.002271,0.000757,0.004725,0.008189,421998.339094,0.426936,0.061691,0.083192,421998.999739,0.073572,0.000261,0.000000,0.003770,0.001257,0.005536,0.005948,326998.253055,0.486538,0.291322,1.795219,326999.991540,0.063642,0.008460,0.000000,0.054976,0.018324,0.041700,0.005088,236999.388828,0.404171,0.067318,0.069348,236999.999246,0.045908,0.000754,0.000000,0.013005,0.004335,0.007059,0.003608,358999.397443,0.389541,0.068229,0.073978,358999.998503,0.044987,0.001497,0.000000,0.013350,0.004449,0.007343,0.003632,1.043588,0.001705,0.001755,0.001748,0.002193,0.002692,0.004772,0.009829,0.017120,0.023706,0.025884,0.030365,0.033976,0.038918,0.758312,0.043532,0.047082,
9999981.459276,6.252949,0.771456,3.509661,9999992.985910,1.621166,0.014090,0.000000,0.102897,0.034296,0.102173,0.166333,708999.797110,0.079537,0.001678,0.064031,709000.000000,0.050777,0.000000,0.000000,0.000000,0.000000,0.000220,0.006646,696999.781338,0.090336,0.001804,0.065493,697000.000000,0.053899,0.000000,0.000000,0.000000,0.000000,0.000231,0.006899,727999.743960,0.112063,0.001884,0.071940,728000.000000,0.062157,0.000000,0.000000,0.000016,0.000005,0.000237,0.007743,787999.607504,0.197380,0.002768,0.091381,788000.000000,0.090237,0.000000,0.000000,0.000021,0.000007,0.000321,0.010388,828998.531736,0.247037,0.003609,0.101023,828999.000000,0.104506,0.000000,0.000000,0.000026,0.000009,0.000406,0.011657,817998.383722,0.348797,0.007223,0.115924,817998.999999,0.129840,0.000001,0.000000,0.000047,0.000016,0.000767,0.013679,828998.249447,0.438494,0.015764,0.131166,828998.999996,0.148008,0.000004,0.000000,0.000332,0.000111,0.001656,0.015128,799999.119603,0.528491,0.029374,0.143552,799999.999993,0.159530,0.000007,0.000000,0.000592,0.000197,0.003000,0.015850,713998.059512,0.576617,0.042954,0.144582,713998.999980,0.155847,0.000020,0.000000,0.001037,0.000346,0.004311,0.015119,636998.135733,0.531526,0.047345,0.131634,636998.999979,0.134837,0.000021,0.000000,0.001136,0.000379,0.004734,0.013032,589998.058091,0.588020,0.057165,0.136934,589998.999906,0.138140,0.000094,0.000000,0.002647,0.000882,0.005798,0.013111,515999.103490,0.560548,0.064770,0.129220,515999.999895,0.120893,0.000105,0.000000,0.002979,0.000993,0.006552,0.011443,421998.216071,0.489050,0.073082,0.112969,421998.999610,0.087566,0.000390,0.000000,0.004924,0.001641,0.007642,0.008305,326998.116367,0.554021,0.261695,1.873387,326999.989913,0.075920,0.010087,0.000000,0.054660,0.018218,0.046722,0.007142,236999.269069,0.466063,0.080268,0.095958,236999.998856,0.055495,0.001144,0.000000,0.017220,0.005740,0.009668,0.005115,358999.286521,0.444969,0.080073,0.100466,358999.997784,0.053514,0.002216,0.000000,0.017261,0.005753,0.009907,0.005074,1.207086,0.002049,0.002121,0.002129,0.002735,0.003389,0.006137,0.012805,0.022607,0.031684,0.034666,0.041069,0.046096,0.052819,0.822738,0.060176,0.063865,
9999979.807635,7.021911,0.836702,4.035235,9999992.982607,1.834603,0.017393,0.000000,0.115042,0.038344,0.121034,0.210443,708999.791262,0.075106,0.001632,0.074752,709000.000000,0.049377,0.000000,0.000000,0.000000,0.000000,0.000252,0.007619,696999.772797,0.087080,0.001780,0.076924,697000.000000,0.053178,0.000000,0.000000,0.000000,0.000000,0.000267,0.007975,727999.730710,0.110511,0.001890,0.085149,728000.000000,0.062404,0.000000,0.000000,0.000018,0.000006,0.000276,0.009042,787999.571689,0.206342,0.002921,0.110855,788000.000000,0.095269,0.000000,0.000000,0.000024,0.000008,0.000387,0.012513,828998.478881,0.265791,0.003895,0.123827,828998.999999,0.112848,0.000001,0.000000,0.000030,0.000010,0.000495,0.014232,817998.297055,0.386570,0.008065,0.145153,817998.999999,0.145028,0.000001,0.000000,0.000057,0.000019,0.000959,0.017113,828998.134639,0.491470,0.017876,0.166317,828998.999994,0.168016,0.000006,0.000000,0.000407,0.000136,0.002093,0.019175,799998.975246,0.597953,0.033800,0.184323,799999.999990,0.183748,0.000010,0.000000,0.000736,0.000245,0.003839,0.020344,713997.897006,0.657097,0.050004,0.187722,713998.999972,0.181649,0.000028,0.000000,0.001305,0.000435,0.005574,0.019614,636997.985512,0.606108,0.055208,0.171219,636998.999970,0.157424,0.000030,0.000000,0.001432,0.000477,0.006131,0.016935,589997.888309,0.673900,0.067163,0.179716,589998.999867,0.162691,0.000133,0.000000,0.003362,0.001121,0.007547,0.017179,515998.943273,0.640880,0.076070,0.169951,515999.999851,0.142340,0.000149,0.000000,0.003791,0.001264,0.008536,0.015008,421998.078519,0.557044,0.085491,0.148539,421998.999445,0.102825,0.000555,0.000000,0.006238,0.002079,0.009911,0.010879,326997.964637,0.627198,0.243688,1.950620,326999.988303,0.089107,0.011697,0.000000,0.053946,0.017980,0.049724,0.009383,236999.135202,0.533466,0.094319,0.128136,236999.998350,0.065941,0.001650,0.000000,0.022045,0.007348,0.012453,0.006787,358999.162898,0.505394,0.092900,0.132033,358999.996869,0.062759,0.003131,0.000000,0.021649,0.007216,0.012591,0.006645,1.385600,0.002392,0.002491,0.002520,0.003317,0.004154,0.007684,0.016234,0.029023,0.041131,0.045083,0.053882,0.060607,0.069418,0.883534,0.080285,0.083845,
