# xI, xA, R0
0.000000000000000000e+00,0.000000000000000000e+00,1.500484116590633743e+00
0.000000000000000000e+00,9.898989898989898548e-03,1.494235032915261163e+00
0.000000000000000000e+00,1.979797979797979710e-02,1.487986158160530703e+00
0.000000000000000000e+00,2.969696969696969391e-02,1.481737495017354966e+00
0.000000000000000000e+00,3.959595959595959419e-02,1.475489046222956624e+00
0.000000000000000000e+00,4.949494949494949447e-02,1.469240814561855180e+00
0.000000000000000000e+00,5.939393939393938782e-02,1.462992802866892816e+00
0.000000000000000000e+00,6.929292929292929504e-02,1.456745014020294215e+00
0.000000000000000000e+00,7.919191919191918838e-02,1.450497450954724599e+00
0.000000000000000000e+00,8.909090909090908172e-02,1.444250116654421268e+00
0.000000000000000000e+00,9.898989898989898895e-02,1.438003014156310044e+00
0.000000000000000000e+00,1.088888888888888823e-01,1.431756146551178110e+00
0.000000000000000000e+00,1.187878787878787756e-01,1.425509516984861724e+00
0.000000000000000000e+00,1.286868686868686829e-01,1.419263128659500994e+00
0.000000000000000000e+00,1.385858585858585901e-01,1.413016984834756018e+00
0.000000000000000000e+00,1.484848484848484695e-01,1.406771088829148253e+00
0.000000000000000000e+00,1.583838383838383768e-01,1.400525444021362809e+00
0.000000000000000000e+00,1.682828282828282840e-01,1.394280053851626455e+00
0.000000000000000000e+00,1.781818181818181634e-01,1.388034921823101620e+00
0.000000000000000000e+00,1.880808080808080707e-01,1.381790051503347660e+00
0.000000000000000000e+00,1.979797979797979779e-01,1.375545446525778592e+00
0.000000000000000000e+00,2.078787878787878574e-01,1.369301110591202519e+00
0.000000000000000000e+00,2.177777777777777646e-01,1.363057047469383942e+00
0.000000000000000000e+00,2.276767676767676718e-01,1.356813261000654025e+00
0.000000000000000000e+00,2.375757575757575513e-01,1.350569755097559055e+00
0.000000000000000000e+00,2.474747474747474585e-01,1.344326533746566410e+00
0.000000000000000000e+00,2.573737373737373657e-01,1.338083601009814716e+00
0.000000000000000000e+00,2.672727272727272729e-01,1.331840961026905745e+00
0.000000000000000000e+00,2.771717171717171802e-01,1.325598618016769814e+00
0.000000000000000000e+00,2.870707070707070319e-01,1.319356576279554494e+00
0.000000000000000000e+00,2.969696969696969391e-01,1.313114840198582600e+00
0.000000000000000000e+00,3.068686868686868463e-01,1.306873414242385234e+00
0.000000000000000000e+00,3.167676767676767535e-01,1.300632302966754805e+00
0.000000000000000000e+00,3.266666666666666607e-01,1.294391511016892871e+00
0.000000000000000000e+00,3.365656565656565680e-01,1.288151043129598827e+00
0.000000000000000000e+00,3.464646464646464752e-01,1.281910904135546314e+00
0.000000000000000000e+00,3.563636363636363269e-01,1.275671098961594474e+00
0.000000000000000000e+00,3.662626262626262341e-01,1.269431632633209350e+00
0.000000000000000000e+00,3.761616161616161413e-01,1.263192510276899494e+00
0.000000000000000000e+00,3.860606060606060486e-01,1.256953737122810333e+00
0.000000000000000000e+00,3.959595959595959558e-01,1.250715318507307661e+00
0.000000000000000000e+00,4.058585858585858630e-01,1.244477259875693465e+00
0.000000000000000000e+00,4.157575757575757147e-01,1.238239566784995471e+00
0.000000000000000000e+00,4.256565656565656219e-01,1.232002244906831745e+00
0.000000000000000000e+00,4.355555555555555292e-01,1.225765300030376537e+00
0.000000000000000000e+00,4.454545454545454364e-01,1.219528738065400741e+00
0.000000000000000000e+00,4.553535353535353436e-01,1.213292565045433369e+00
0.000000000000000000e+00,4.652525252525252508e-01,1.207056787130994735e+00
0.000000000000000000e+00,4.751515151515151025e-01,1.200821410612953777e+00
0.000000000000000000e+00,4.850505050505050098e-01,1.194586441915973740e+00
0.000000000000000000e+00,4.949494949494949170e-01,1.188351887602081769e+00
0.000000000000000000e+00,5.048484848484848797e-01,1.182117754374344853e+00
0.000000000000000000e+00,5.147474747474747314e-01,1.175884049080666571e+00
0.000000000000000000e+00,5.246464646464645831e-01,1.169650778717712614e+00
0.000000000000000000e+00,5.345454545454545459e-01,1.163417950434945558e+00
0.000000000000000000e+00,5.444444444444443976e-01,1.157185571538813074e+00
0.000000000000000000e+00,5.543434343434343603e-01,1.150953649497072906e+00
0.000000000000000000e+00,5.642424242424242120e-01,1.144722191943227552e+00
0.000000000000000000e+00,5.741414141414140637e-01,1.138491206681158996e+00
0.000000000000000000e+00,5.840404040404040265e-01,1.132260701689872251e+00
0.000000000000000000e+00,5.939393939393938782e-01,1.126030685128436515e+00
0.000000000000000000e+00,6.038383838383838409e-01,1.119801165341042681e+00
0.000000000000000000e+00,6.137373737373736926e-01,1.113572150862306875e+00
0.000000000000000000e+00,6.236363636363636553e-01,1.107343650422669024e+00
0.000000000000000000e+00,6.335353535353535070e-01,1.101115672954054991e+00
0.000000000000000000e+00,6.434343434343433588e-01,1.094888227595670394e+00
0.000000000000000000e+00,6.533333333333333215e-01,1.088661323700055084e+00
0.000000000000000000e+00,6.632323232323231732e-01,1.082434970839296628e+00
0.000000000000000000e+00,6.731313131313131359e-01,1.076209178811486034e+00
0.000000000000000000e+00,6.830303030303029876e-01,1.069983957647414163e+00
0.000000000000000000e+00,6.929292929292929504e-01,1.063759317617481548e+00
0.000000000000000000e+00,7.028282828282828021e-01,1.057535269238871312e+00
0.000000000000000000e+00,7.127272727272726538e-01,1.051311823282965907e+00
0.000000000000000000e+00,7.226262626262626165e-01,1.045088990783056060e+00
0.000000000000000000e+00,7.325252525252524682e-01,1.038866783042301511e+00
0.000000000000000000e+00,7.424242424242424310e-01,1.032645211642001959e+00
0.000000000000000000e+00,7.523232323232322827e-01,1.026424288450173083e+00
0.000000000000000000e+00,7.622222222222221344e-01,1.020204025630427225e+00
0.000000000000000000e+00,7.721212121212120971e-01,1.013984435651195781e+00
0.000000000000000000e+00,7.820202020202019488e-01,1.007765531295294226e+00
0.000000000000000000e+00,7.919191919191919116e-01,1.001547325669851274e+00
0.000000000000000000e+00,8.018181818181817633e-01,9.953298322166056478e-01
0.000000000000000000e+00,8.117171717171717260e-01,9.891130647226069605e-01
0.000000000000000000e+00,8.216161616161615777e-01,9.828970373313205000e-01
0.000000000000000000e+00,8.315151515151514294e-01,9.766817645541665538e-01
0.000000000000000000e+00,8.414141414141413922e-01,9.704672612825102629e-01
0.000000000000000000e+00,8.513131313131312439e-01,9.642535428001048903e-01
