# xI, xA, R0
0.000000000000000000e+00,0.000000000000000000e+00,1.502802801956627299e+00
0.000000000000000000e+00,9.898989898989898548e-03,1.496780151331454922e+00
0.000000000000000000e+00,1.979797979797979710e-02,1.490757688440965456e+00
0.000000000000000000e+00,2.969696969696969391e-02,1.484735415643973599e+00
0.000000000000000000e+00,3.959595959595959419e-02,1.478713335339207235e+00
0.000000000000000000e+00,4.949494949494949447e-02,1.472691449966158750e+00
0.000000000000000000e+00,5.939393939393938782e-02,1.466669762005960331e+00
0.000000000000000000e+00,6.929292929292929504e-02,1.460648273982288359e+00
0.000000000000000000e+00,7.919191919191918838e-02,1.454626988462287329e+00
0.000000000000000000e+00,8.909090909090908172e-02,1.448605908057514879e+00
0.000000000000000000e+00,9.898989898989898895e-02,1.442585035424903905e+00
0.000000000000000000e+00,1.088888888888888823e-01,1.436564373267785744e+00
0.000000000000000000e+00,1.187878787878787756e-01,1.430543924336890704e+00
0.000000000000000000e+00,1.286868686868686829e-01,1.424523691431417438e+00
0.000000000000000000e+00,1.385858585858585901e-01,1.418503677400092533e+00
0.000000000000000000e+00,1.484848484848484695e-01,1.412483885142316709e+00
0.000000000000000000e+00,1.583838383838383768e-01,1.406464317609271264e+00
0.000000000000000000e+00,1.682828282828282840e-01,1.400444977805112234e+00
0.000000000000000000e+00,1.781818181818181634e-01,1.394425868788158551e+00
0.000000000000000000e+00,1.880808080808080707e-01,1.388406993672148149e+00
0.000000000000000000e+00,1.979797979797979779e-01,1.382388355627499177e+00
0.000000000000000000e+00,2.078787878787878574e-01,1.376369957882614292e+00
0.000000000000000000e+00,2.177777777777777646e-01,1.370351803725238460e+00
0.000000000000000000e+00,2.276767676767676718e-01,1.364333896503836074e+00
0.000000000000000000e+00,2.375757575757575513e-01,1.358316239629008049e+00
0.000000000000000000e+00,2.474747474747474585e-01,1.352298836574967966e+00
0.000000000000000000e+00,2.573737373737373657e-01,1.346281690881028670e+00
0.000000000000000000e+00,2.672727272727272729e-01,1.340264806153172783e+00
0.000000000000000000e+00,2.771717171717171802e-01,1.334248186065625896e+00
0.000000000000000000e+00,2.870707070707070319e-01,1.328231834362524788e+00
0.000000000000000000e+00,2.969696969696969391e-01,1.322215754859568992e+00
0.000000000000000000e+00,3.068686868686868463e-01,1.316199951445784944e+00
0.000000000000000000e+00,3.167676767676767535e-01,1.310184428085312769e+00
0.000000000000000000e+00,3.266666666666666607e-01,1.304169188819253034e+00
0.000000000000000000e+00,3.365656565656565680e-01,1.298154237767547237e+00
0.000000000000000000e+00,3.464646464646464752e-01,1.292139579130952010e+00
0.000000000000000000e+00,3.563636363636363269e-01,1.286125217193061276e+00
0.000000000000000000e+00,3.662626262626262341e-01,1.280111156322353727e+00
0.000000000000000000e+00,3.761616161616161413e-01,1.274097400974361527e+00
0.000000000000000000e+00,3.860606060606060486e-01,1.268083955693876552e+00
0.000000000000000000e+00,3.959595959595959558e-01,1.262070825117203254e+00
0.000000000000000000e+00,4.058585858585858630e-01,1.256058013974532095e+00
0.000000000000000000e+00,4.157575757575757147e-01,1.250045527092350950e+00
0.000000000000000000e+00,4.256565656565656219e-01,1.244033369395941779e+00
0.000000000000000000e+00,4.355555555555555292e-01,1.238021545911949461e+00
0.000000000000000000e+00,4.454545454545454364e-01,1.232010061771054543e+00
0.000000000000000000e+00,4.553535353535353436e-01,1.225998922210722819e+00
0.000000000000000000e+00,4.652525252525252508e-01,1.219988132578013529e+00
0.000000000000000000e+00,4.751515151515151025e-01,1.213977698332539212e+00
0.000000000000000000e+00,4.850505050505050098e-01,1.207967625049463312e+00
0.000000000000000000e+00,4.949494949494949170e-01,1.201957918422635219e+00
0.000000000000000000e+00,5.048484848484848797e-01,1.195948584267818582e+00
0.000000000000000000e+00,5.147474747474747314e-01,1.189939628526016646e+00
0.000000000000000000e+00,5.246464646464645831e-01,1.183931057266925269e+00
0.000000000000000000e+00,5.345454545454545459e-01,1.177922876692491627e+00
0.000000000000000000e+00,5.444444444444443976e-01,1.171915093140608377e+00
0.000000000000000000e+00,5.543434343434343603e-01,1.165907713088917497e+00
0.000000000000000000e+00,5.642424242424242120e-01,1.159900743158754688e+00
0.000000000000000000e+00,5.741414141414140637e-01,1.153894190119233443e+00
0.000000000000000000e+00,5.840404040404040265e-01,1.147888060891472994e+00
0.000000000000000000e+00,5.939393939393938782e-01,1.141882362552952390e+00
0.000000000000000000e+00,6.038383838383838409e-01,1.135877102342058187e+00
0.000000000000000000e+00,6.137373737373736926e-01,1.129872287662777808e+00
0.000000000000000000e+00,6.236363636363636553e-01,1.123867926089532565e+00
0.000000000000000000e+00,6.335353535353535070e-01,1.117864025372240278e+00
0.000000000000000000e+00,6.434343434343433588e-01,1.111860593441533096e+00
0.000000000000000000e+00,6.533333333333333215e-01,1.105857638414138311e+00
0.000000000000000000e+00,6.632323232323231732e-01,1.099855168598538047e+00
0.000000000000000000e+00,6.731313131313131359e-01,1.093853192500755078e+00
0.000000000000000000e+00,6.830303030303029876e-01,1.087851718830411984e+00
0.000000000000000000e+00,6.929292929292929504e-01,1.081850756507004574e+00
0.000000000000000000e+00,7.028282828282828021e-01,1.075850314666382701e+00
0.000000000000000000e+00,7.127272727272726538e-01,1.069850402667569256e+00
0.000000000000000000e+00,7.226262626262626165e-01,1.063851030099721484e+00
0.000000000000000000e+00,7.325252525252524682e-01,1.057852206789478222e+00
0.000000000000000000e+00,7.424242424242424310e-01,1.051853942808515852e+00
0.000000000000000000e+00,7.523232323232322827e-01,1.045856248481458417e+00
0.000000000000000000e+00,7.622222222222221344e-01,1.039859134394064188e+00
0.000000000000000000e+00,7.721212121212120971e-01,1.033862611401783038e+00
0.000000000000000000e+00,7.820202020202019488e-01,1.027866690638621794e+00
0.000000000000000000e+00,7.919191919191919116e-01,1.021871383526397503e+00
0.000000000000000000e+00,8.018181818181817633e-01,1.015876701784394376e+00
0.000000000000000000e+00,8.117171717171717260e-01,1.009882657439366671e+00
0.000000000000000000e+00,8.216161616161615777e-01,1.003889262836014096e+00
0.000000000000000000e+00,8.315151515151514294e-01,9.978965306478957409e-01
0.000000000000000000e+00,8.414141414141413922e-01,9.919044738887845547e-01
0.000000000000000000e+00,8.513131313131312439e-01,9.859131059245572759e-01
0.000000000000000000e+00,8.612121212121212066e-01,9.799224404855426673e-01
0.000000000000000000e+00,8.711111111111110583e-01,9.739324916794983578e-01
0.000000000000000000e+00,8.810101010101010210e-01,9.679432740050771811e-01
0.000000000000000000e+00,8.909090909090908728e-01,9.619548023659779679e-01
0.000000000000000000e+00,9.008080808080807245e-01,9.559670920856662146e-01
