# xI, xA, R0
0.000000000000000000e+00,0.000000000000000000e+00,2.635227840188149262e+00
0.000000000000000000e+00,9.898989898989898548e-03,2.625186117597793078e+00
0.000000000000000000e+00,1.979797979797979710e-02,2.615145528671558139e+00
0.000000000000000000e+00,2.969696969696969391e-02,2.605106088142921550e+00
0.000000000000000000e+00,3.959595959595959419e-02,2.595067810999467373e+00
0.000000000000000000e+00,4.949494949494949447e-02,2.585030712488344040e+00
0.000000000000000000e+00,5.939393939393938782e-02,2.574994808121847001e+00
0.000000000000000000e+00,6.929292929292929504e-02,2.564960113683134146e+00
0.000000000000000000e+00,7.919191919191918838e-02,2.554926645232138860e+00
0.000000000000000000e+00,8.909090909090908172e-02,2.544894419111540351e+00
0.000000000000000000e+00,9.898989898989898895e-02,2.534863451953017321e+00
0.000000000000000000e+00,1.088888888888888823e-01,2.524833760683532713e+00
0.000000000000000000e+00,1.187878787878787756e-01,2.514805362531865374e+00
0.000000000000000000e+00,1.286868686868686829e-01,2.504778275035309143e+00
0.000000000000000000e+00,1.385858585858585901e-01,2.494752516046509161e+00
0.000000000000000000e+00,1.484848484848484695e-01,2.484728103740516669e+00
0.000000000000000000e+00,1.583838383838383768e-01,2.474705056621988586e+00
0.000000000000000000e+00,1.682828282828282840e-01,2.464683393532643763e+00
0.000000000000000000e+00,1.781818181818181634e-01,2.454663133658847585e+00
0.000000000000000000e+00,1.880808080808080707e-01,2.444644296539449257e+00
0.000000000000000000e+00,1.979797979797979779e-01,2.434626902073817156e+00
0.000000000000000000e+00,2.078787878787878574e-01,2.424610970530085563e+00
0.000000000000000000e+00,2.177777777777777646e-01,2.414596522553624780e+00
0.000000000000000000e+00,2.276767676767676718e-01,2.404583579175757713e+00
0.000000000000000000e+00,2.375757575757575513e-01,2.394572161822690504e+00
0.000000000000000000e+00,2.474747474747474585e-01,2.384562292324733601e+00
0.000000000000000000e+00,2.573737373737373657e-01,2.374553992925690693e+00
0.000000000000000000e+00,2.672727272727272729e-01,2.364547286292648209e+00
0.000000000000000000e+00,2.771717171717171802e-01,2.354542195525877180e+00
0.000000000000000000e+00,2.870707070707070319e-01,2.344538744169131661e+00
0.000000000000000000e+00,2.969696969696969391e-01,2.334536956220190973e+00
0.000000000000000000e+00,3.068686868686868463e-01,2.324536856141681707e+00
0.000000000000000000e+00,3.167676767676767535e-01,2.314538468872270105e+00
0.000000000000000000e+00,3.266666666666666607e-01,2.304541819838077821e+00
0.000000000000000000e+00,3.365656565656565680e-01,2.294546934964522222e+00
0.000000000000000000e+00,3.464646464646464752e-01,2.284553840688420046e+00
0.000000000000000000e+00,3.563636363636363269e-01,2.274562563970488061e+00
0.000000000000000000e+00,3.662626262626262341e-01,2.264573132308182135e+00
0.000000000000000000e+00,3.761616161616161413e-01,2.254585573748915550e+00
0.000000000000000000e+00,3.860606060606060486e-01,2.244599916903664560e+00
0.000000000000000000e+00,3.959595959595959558e-01,2.234616190960945659e+00
0.000000000000000000e+00,4.058585858585858630e-01,2.224634425701283114e+00
0.000000000000000000e+00,4.157575757575757147e-01,2.214654651511978933e+00
0.000000000000000000e+00,4.256565656565656219e-01,2.204676899402460588e+00
0.000000000000000000e+00,4.355555555555555292e-01,2.194701201019949366e+00
0.000000000000000000e+00,4.454545454545454364e-01,2.184727588665725140e+00
0.000000000000000000e+00,4.553535353535353436e-01,2.174756095311765947e+00
0.000000000000000000e+00,4.652525252525252508e-01,2.164786754617986198e+00
0.000000000000000000e+00,4.751515151515151025e-01,2.154819600949918090e+00
0.000000000000000000e+00,4.850505050505050098e-01,2.144854669396984992e+00
0.000000000000000000e+00,4.949494949494949170e-01,2.134891995791308172e+00
0.000000000000000000e+00,5.048484848484848797e-01,2.124931616727100181e+00
0.000000000000000000e+00,5.147474747474747314e-01,2.114973569580634649e+00
0.000000000000000000e+00,5.246464646464645831e-01,2.105017892530875567e+00
0.000000000000000000e+00,5.345454545454545459e-01,2.095064624580702972e+00
0.000000000000000000e+00,5.444444444444443976e-01,2.085113805578824309e+00
0.000000000000000000e+00,5.543434343434343603e-01,2.075165476242380791e+00
0.000000000000000000e+00,5.642424242424242120e-01,2.065219678180227003e+00
0.000000000000000000e+00,5.741414141414140637e-01,2.055276453916998314e+00
0.000000000000000000e+00,5.840404040404040265e-01,2.045335846917898159e+00
0.000000000000000000e+00,5.939393939393938782e-01,2.035397901614297123e+00
0.000000000000000000e+00,6.038383838383838409e-01,2.025462663430140253e+00
0.000000000000000000e+00,6.137373737373736926e-01,2.015530178809224360e+00
0.000000000000000000e+00,6.236363636363636553e-01,2.005600495243320847e+00
0.000000000000000000e+00,6.335353535353535070e-01,1.995673661301246016e+00
0.000000000000000000e+00,6.434343434343433588e-01,1.985749726658846415e+00
0.000000000000000000e+00,6.533333333333333215e-01,1.975828742129984716e+00
0.000000000000000000e+00,6.632323232323231732e-01,1.965910759698545229e+00
0.000000000000000000e+00,6.731313131313131359e-01,1.955995832551462366e+00
0.000000000000000000e+00,6.830303030303029876e-01,1.946084015112891752e+00
0.000000000000000000e+00,6.929292929292929504e-01,1.936175363079466027e+00
0.000000000000000000e+00,7.028282828282828021e-01,1.926269933456767447e+00
0.000000000000000000e+00,7.127272727272726538e-01,1.916367784597000190e+00
0.000000000000000000e+00,7.226262626262626165e-01,1.906468976237944091e+00
0.000000000000000000e+00,7.325252525252524682e-01,1.896573569543189786e+00
0.000000000000000000e+00,7.424242424242424310e-01,1.886681627143814710e+00
0.000000000000000000e+00,7.523232323232322827e-01,1.876793213181386921e+00
0.000000000000000000e+00,7.622222222222221344e-01,1.866908393352497031e+00
0.000000000000000000e+00,7.721212121212120971e-01,1.857027234954820472e+00
0.000000000000000000e+00,7.820202020202019488e-01,1.847149806934720750e+00
0.000000000000000000e+00,7.919191919191919116e-01,1.837276179936567111e+00
0.000000000000000000e+00,8.018181818181817633e-01,1.827406426353718638e+00
0.000000000000000000e+00,8.117171717171717260e-01,1.817540620381288941e+00
0.000000000000000000e+00,8.216161616161615777e-01,1.807678838070792438e+00
0.000000000000000000e+00,8.315151515151514294e-01,1.797821157386683355e+00
0.000000000000000000e+00,8.414141414141413922e-01,1.787967658264896231e+00
0.000000000000000000e+00,8.513131313131312439e-01,1.778118422673457211e+00
0.000000000000000000e+00,8.612121212121212066e-01,1.768273534675282255e+00
0.000000000000000000e+00,8.711111111111110583e-01,1.758433080493158940e+00
0.000000000000000000e+00,8.810101010101010210e-01,1.748597148577130778e+00
0.000000000000000000e+00,8.909090909090908728e-01,1.738765829674233654e+00
0.000000000000000000e+00,9.008080808080807245e-01,1.728939216900795994e+00
0.000000000000000000e+00,9.107070707070706872e-01,1.719117405817349953e+00
0.000000000000000000e+00,9.206060606060605389e-01,1.709300494506241774e+00
0.000000000000000000e+00,9.305050505050505016e-01,1.699488583652108087e+00
0.000000000000000000e+00,9.404040404040403534e-01,1.689681776625290954e+00
0.000000000000000000e+00,9.503030303030302051e-01,1.679880179568271625e+00
0.000000000000000000e+00,9.602020202020201678e-01,1.670083901485363453e+00
0.000000000000000000e+00,9.701010101010100195e-01,1.660293054335650220e+00
0.000000000000000000e+00,9.799999999999999822e-01,1.650507753129413002e+00
9.898989898989898548e-03,0.000000000000000000e+00,2.631245448419669675e+00
9.898989898989898548e-03,9.898989898989898548e-03,2.621202566924079935e+00
9.898989898989898548e-03,1.979797979797979710e-02,2.611160810320847681e+00
9.898989898989898548e-03,2.969696969696969391e-02,2.601120193247756784e+00
9.898989898989898548e-03,3.959595959595959419e-02,2.591080730595411552e+00
9.898989898989898548e-03,4.949494949494949447e-02,2.581042437512635956e+00
9.898989898989898548e-03,5.939393939393938782e-02,2.571005329412067386e+00
9.898989898989898548e-03,6.929292929292929504e-02,2.560969421975833882e+00
9.898989898989898548e-03,7.919191919191918838e-02,2.550934731161441427e+00
9.898989898989898548e-03,8.909090909090908172e-02,2.540901273207745614e+00
9.898989898989898548e-03,9.898989898989898895e-02,2.530869064641155131e+00
9.898989898989898548e-03,1.088888888888888823e-01,2.520838122281915172e+00
9.898989898989898548e-03,1.187878787878787756e-01,2.510808463250635558e+00
9.898989898989898548e-03,1.286868686868686829e-01,2.500780104974897000e+00
9.898989898989898548e-03,1.385858585858585901e-01,2.490753065196150917e+00
9.898989898989898548e-03,1.484848484848484695e-01,2.480727361976691636e+00
9.898989898989898548e-03,1.583838383838383768e-01,2.470703013706855966e+00
9.898989898989898548e-03,1.682828282828282840e-01,2.460680039112458140e+00
9.898989898989898548e-03,1.781818181818181634e-01,2.450658457262349099e+00
9.898989898989898548e-03,1.880808080808080707e-01,2.440638287576214260e+00
9.898989898989898548e-03,1.979797979797979779e-01,2.430619549832608417e+00
9.898989898989898548e-03,2.078787878787878574e-01,2.420602264177161178e+00
9.898989898989898548e-03,2.177777777777777646e-01,2.410586451131026653e+00
9.898989898989898548e-03,2.276767676767676718e-01,2.400572131599576942e+00
9.898989898989898548e-03,2.375757575757575513e-01,2.390559326881312785e+00
9.898989898989898548e-03,2.474747474747474585e-01,2.380548058677032230e+00
9.898989898989898548e-03,2.573737373737373657e-01,2.370538349099251541e+00
9.898989898989898548e-03,2.672727272727272729e-01,2.360530220681900992e+00
9.898989898989898548e-03,2.771717171717171802e-01,2.350523696390230288e+00
9.898989898989898548e-03,2.870707070707070319e-01,2.340518799631101654e+00
9.898989898989898548e-03,2.969696969696969391e-01,2.330515554263478784e+00
9.898989898989898548e-03,3.068686868686868463e-01,2.320513984609223535e+00
9.898989898989898548e-03,3.167676767676767535e-01,2.310514115464256779e+00
9.898989898989898548e-03,3.266666666666666607e-01,2.300515972109993701e+00
9.898989898989898548e-03,3.365656565656565680e-01,2.290519580325087290e+00
9.898989898989898548e-03,3.464646464646464752e-01,2.280524966397546205e+00
9.898989898989898548e-03,3.563636363636363269e-01,2.270532157137207907e+00
9.898989898989898548e-03,3.662626262626262341e-01,2.260541179888539087e+00
9.898989898989898548e-03,3.761616161616161413e-01,2.250552062543820231e+00
9.898989898989898548e-03,3.860606060606060486e-01,2.240564833556750290e+00
9.898989898989898548e-03,3.959595959595959558e-01,2.230579521956376876e+00
9.898989898989898548e-03,4.058585858585858630e-01,2.220596157361536704e+00
9.898989898989898548e-03,4.157575757575757147e-01,2.210614769995594919e+00
9.898989898989898548e-03,4.256565656565656219e-01,2.200635390701789706e+00
9.898989898989898548e-03,4.355555555555555292e-01,2.190658050958849579e+00
9.898989898989898548e-03,4.454545454545454364e-01,2.180682782897229721e+00
9.898989898989898548e-03,4.553535353535353436e-01,2.170709619315755123e+00
9.898989898989898548e-03,4.652525252525252508e-01,2.160738593698794396e+00
9.898989898989898548e-03,4.751515151515151025e-01,2.150769740233940297e+00
9.898989898989898548e-03,4.850505050505050098e-01,2.140803093830255133e+00
9.898989898989898548e-03,4.949494949494949170e-01,2.130838690137056179e+00
9.898989898989898548e-03,5.048484848484848797e-01,2.120876565563258875e+00
9.898989898989898548e-03,5.147474747474747314e-01,2.110916757297355506e+00
9.898989898989898548e-03,5.246464646464645831e-01,2.100959303328014283e+00
9.898989898989898548e-03,5.345454545454545459e-01,2.091004242465280161e+00
9.898989898989898548e-03,5.444444444444443976e-01,2.081051614362447566e+00
9.898989898989898548e-03,5.543434343434343603e-01,2.071101459538677858e+00
9.898989898989898548e-03,5.642424242424242120e-01,2.061153819402242515e+00
9.898989898989898548e-03,5.741414141414140637e-01,2.051208736274579003e+00
9.898989898989898548e-03,5.840404040404040265e-01,2.041266253415048748e+00
9.898989898989898548e-03,5.939393939393938782e-01,2.031326415046547318e+00
9.898989898989898548e-03,6.038383838383838409e-01,2.021389266381881544e+00
9.898989898989898548e-03,6.137373737373736926e-01,2.011454853651035712e+00
9.898989898989898548e-03,6.236363636363636553e-01,2.001523224129286849e+00
9.898989898989898548e-03,6.335353535353535070e-01,1.991594426166265253e+00
9.898989898989898548e-03,6.434343434343433588e-01,1.981668509215948726e+00
9.898989898989898548e-03,6.533333333333333215e-01,1.971745523867640237e+00
9.898989898989898548e-03,6.632323232323231732e-01,1.961825521877952339e+00
9.898989898989898548e-03,6.731313131313131359e-01,1.951908556203876266e+00
9.898989898989898548e-03,6.830303030303029876e-01,1.941994681036924186e+00
9.898989898989898548e-03,6.929292929292929504e-01,1.932083951838422964e+00
9.898989898989898548e-03,7.028282828282828021e-01,1.922176425375984987e+00
9.898989898989898548e-03,7.127272727272726538e-01,1.912272159761196022e+00
9.898989898989898548e-03,7.226262626262626165e-01,1.902371214488600693e+00
9.898989898989898548e-03,7.325252525252524682e-01,1.892473650475977376e+00
9.898989898989898548e-03,7.424242424242424310e-01,1.882579530105989107e+00
9.898989898989898548e-03,7.523232323232322827e-01,1.872688917269289988e+00
9.898989898989898548e-03,7.622222222222221344e-01,1.862801877409081985e+00
9.898989898989898548e-03,7.721212121212120971e-01,1.852918477567185640e+00
9.898989898989898548e-03,7.820202020202019488e-01,1.843038786431765219e+00
9.898989898989898548e-03,7.919191919191919116e-01,1.833162874386643493e+00
9.898989898989898548e-03,8.018181818181817633e-01,1.823290813562399082e+00
9.898989898989898548e-03,8.117171717171717260e-01,1.813422677889200196e+00
9.898989898989898548e-03,8.216161616161615777e-01,1.803558543151536186e+00
9.898989898989898548e-03,8.315151515151514294e-01,1.793698487044829148e+00
9.898989898989898548e-03,8.414141414141413922e-01,1.783842589234121645e+00
9.898989898989898548e-03,8.513131313131312439e-01,1.773990931414795469e+00
9.898989898989898548e-03,8.612121212121212066e-01,1.764143597375465111e+00
9.898989898989898548e-03,8.711111111111110583e-01,1.754300673063152516e+00
9.898989898989898548e-03,8.810101010101010210e-01,1.744462246650778869e+00
9.898989898989898548e-03,8.909090909090908728e-01,1.734628408607101768e+00
9.898989898989898548e-03,9.008080808080807245e-01,1.724799251769189246e+00
9.898989898989898548e-03,9.107070707070706872e-01,1.714974871417518587e+00
9.898989898989898548e-03,9.206060606060605389e-01,1.705155365353844710e+00
9.898989898989898548e-03,9.305050505050505016e-01,1.695340833981866524e+00
9.898989898989898548e-03,9.404040404040403534e-01,1.685531380390911549e+00
9.898989898989898548e-03,9.503030303030302051e-01,1.675727110442680079e+00
9.898989898989898548e-03,9.602020202020201678e-01,1.665928132861189237e+00
9.898989898989898548e-03,9.701010101010100195e-01,1.656134559326076783e+00
9.898989898989898548e-03,9.799999999999999822e-01,1.646346504569352831e+00
1.979797979797979710e-02,0.000000000000000000e+00,2.627264256912400953e+00
1.979797979797979710e-02,9.898989898989898548e-03,2.617220219159835271e+00
1.979797979797979710e-02,1.979797979797979710e-02,2.607177297529291948e+00
1.979797979797979710e-02,2.969696969696969391e-02,2.597135506562629370e+00
1.979797979797979710e-02,3.959595959595959419e-02,2.587094861053202077e+00
1.979797979797979710e-02,4.949494949494949447e-02,2.577055376051263114e+00
1.979797979797979710e-02,5.939393939393938782e-02,2.567017066869502262e+00
1.979797979797979710e-02,6.929292929292929504e-02,2.556979949088752146e+00
1.979797979797979710e-02,7.919191919191918838e-02,2.546944038563788482e+00
1.979797979797979710e-02,8.909090909090908172e-02,2.536909351429344817e+00
1.979797979797979710e-02,9.898989898989898895e-02,2.526875904106253845e+00
1.979797979797979710e-02,1.088888888888888823e-01,2.516843713307731711e+00
1.979797979797979710e-02,1.187878787878787756e-01,2.506812796045846170e+00
1.979797979797979710e-02,1.286868686868686829e-01,2.496783169638168598e+00
1.979797979797979710e-02,1.385858585858585901e-01,2.486754851714569003e+00
1.979797979797979710e-02,1.484848484848484695e-01,2.476727860224234856e+00
1.979797979797979710e-02,1.583838383838383768e-01,2.466702213442812042e+00
1.979797979797979710e-02,1.682828282828282840e-01,2.456677929979806496e+00
1.979797979797979710e-02,1.781818181818181634e-01,2.446655028786143937e+00
1.979797979797979710e-02,1.880808080808080707e-01,2.436633529161946754e+00
1.979797979797979710e-02,1.979797979797979779e-01,2.426613450764510738e+00
1.979797979797979710e-02,2.078787878787878574e-01,2.416594813616513182e+00
1.979797979797979710e-02,2.177777777777777646e-01,2.406577638114444806e+00
1.979797979797979710e-02,2.276767676767676718e-01,2.396561945037244623e+00
1.979797979797979710e-02,2.375757575757575513e-01,2.386547755555215478e+00
1.979797979797979710e-02,2.474747474747474585e-01,2.376535091239150521e+00
1.979797979797979710e-02,2.573737373737373657e-01,2.366523974069735914e+00
1.979797979797979710e-02,2.672727272727272729e-01,2.356514426447201771e+00
1.979797979797979710e-02,2.771717171717171802e-01,2.346506471201244004e+00
1.979797979797979710e-02,2.870707070707070319e-01,2.336500131601247254e+00
1.979797979797979710e-02,2.969696969696969391e-01,2.326495431366751188e+00
1.979797979797979710e-02,3.068686868686868463e-01,2.316492394678245859e+00
1.979797979797979710e-02,3.167676767676767535e-01,2.306491046188299254e+00
1.979797979797979710e-02,3.266666666666666607e-01,2.296491411032916208e+00
1.979797979797979710e-02,3.365656565656565680e-01,2.286493514843334296e+00
1.979797979797979710e-02,3.464646464646464752e-01,2.276497383758066650e+00
1.979797979797979710e-02,3.563636363636363269e-01,2.266503044435334679e+00
1.979797979797979710e-02,3.662626262626262341e-01,2.256510524065868939e+00
1.979797979797979710e-02,3.761616161616161413e-01,2.246519850386077710e+00
1.979797979797979710e-02,3.860606060606060486e-01,2.236531051691557082e+00
1.979797979797979710e-02,3.959595959595959558e-01,2.226544156851085976e+00
1.979797979797979710e-02,4.058585858585858630e-01,2.216559195320950248e+00
1.979797979797979710e-02,4.157575757575757147e-01,2.206576197159741515e+00
1.979797979797979710e-02,4.256565656565656219e-01,2.196595193043568983e+00
1.979797979797979710e-02,4.355555555555555292e-01,2.186616214281756676e+00
1.979797979797979710e-02,4.454545454545454364e-01,2.176639292832981631e+00
1.979797979797979710e-02,4.553535353535353436e-01,2.166664461321903268e+00
1.979797979797979710e-02,4.652525252525252508e-01,2.156691753056337646e+00
1.979797979797979710e-02,4.751515151515151025e-01,2.146721202044888699e+00
1.979797979797979710e-02,4.850505050505050098e-01,2.136752843015162995e+00
1.979797979797979710e-02,4.949494949494949170e-01,2.126786711432534727e+00
1.979797979797979710e-02,5.048484848484848797e-01,2.116822843519470698e+00
1.979797979797979710e-02,5.147474747474747314e-01,2.106861276275502792e+00
1.979797979797979710e-02,5.246464646464645831e-01,2.096902047497736454e+00
1.979797979797979710e-02,5.345454545454545459e-01,2.086945195802099473e+00
1.979797979797979710e-02,5.444444444444443976e-01,2.076990760645181844e+00
1.979797979797979710e-02,5.543434343434343603e-01,2.067038782346791059e+00
1.979797979797979710e-02,5.642424242424242120e-01,2.057089302113204177e+00
1.979797979797979710e-02,5.741414141414140637e-01,2.047142362061212584e+00
1.979797979797979710e-02,5.840404040404040265e-01,2.037198005242847998e+00
1.979797979797979710e-02,5.939393939393938782e-01,2.027256275670976660e+00
1.979797979797979710e-02,6.038383838383838409e-01,2.017317218345670682e+00
1.979797979797979710e-02,6.137373737373736926e-01,2.007380879281446262e+00
1.979797979797979710e-02,6.236363636363636553e-01,1.997447305535391848e+00
1.979797979797979710e-02,6.335353535353535070e-01,1.987516545236208909e+00
1.979797979797979710e-02,6.434343434343433588e-01,1.977588647614179962e+00
1.979797979797979710e-02,6.533333333333333215e-01,1.967663663032165333e+00
1.979797979797979710e-02,6.632323232323231732e-01,1.957741643017596678e+00
1.979797979797979710e-02,6.731313131313131359e-01,1.947822640295502783e+00
1.979797979797979710e-02,6.830303030303029876e-01,1.937906708822714430e+00
1.979797979797979710e-02,6.929292929292929504e-01,1.927993903823110866e+00
1.979797979797979710e-02,7.028282828282828021e-01,1.918084281824150139e+00
1.979797979797979710e-02,7.127272727272726538e-01,1.908177900694537410e+00
1.979797979797979710e-02,7.226262626262626165e-01,1.898274819683235082e+00
1.979797979797979710e-02,7.325252525252524682e-01,1.888375099459786099e+00
1.979797979797979710e-02,7.424242424242424310e-01,1.878478802155970406e+00
1.979797979797979710e-02,7.523232323232322827e-01,1.868585991408951763e+00
1.979797979797979710e-02,7.622222222222221344e-01,1.858696732405864749e+00
1.979797979797979710e-02,7.721212121212120971e-01,1.848811091929958739e+00
1.979797979797979710e-02,7.820202020202019488e-01,1.838929138408347264e+00
1.979797979797979710e-02,7.919191919191919116e-01,1.829050941961404275e+00
1.979797979797979710e-02,8.018181818181817633e-01,1.819176574453909900e+00
1.979797979797979710e-02,8.117171717171717260e-01,1.809306109547970109e+00
1.979797979797979710e-02,8.216161616161615777e-01,1.799439622757826207e+00
1.979797979797979710e-02,8.315151515151514294e-01,1.789577191506583675e+00
1.979797979797979710e-02,8.414141414141413922e-01,1.779718895184963623e+00
1.979797979797979710e-02,8.513131313131312439e-01,1.769864815212160325e+00
1.979797979797979710e-02,8.612121212121212066e-01,1.760015035098859482e+00
1.979797979797979710e-02,8.711111111111110583e-01,1.750169640512550195e+00
1.979797979797979710e-02,8.810101010101010210e-01,1.740328719345153097e+00
1.979797979797979710e-02,8.909090909090908728e-01,1.730492361783159572e+00
1.979797979797979710e-02,9.008080808080807245e-01,1.720660660380239015e+00
1.979797979797979710e-02,9.107070707070706872e-01,1.710833710132578345e+00
1.979797979797979710e-02,9.206060606060605389e-01,1.701011608556929122e+00
1.979797979797979710e-02,9.305050505050505016e-01,1.691194455771523275e+00
1.979797979797979710e-02,9.404040404040403534e-01,1.681382354580030158e+00
1.979797979797979710e-02,9.503030303030302051e-01,1.671575410558529207e+00
1.979797979797979710e-02,9.602020202020201678e-01,1.661773732145791937e+00
1.979797979797979710e-02,9.701010101010100195e-01,1.651977430736888408e+00
1.979797979797979710e-02,9.799999999999999822e-01,1.642186620780299755e+00
2.969696969696969391e-02,0.000000000000000000e+00,2.623284269561272808e+00
2.969696969696969391e-02,9.898989898989898548e-03,2.613239078227761247e+00
2.969696969696969391e-02,1.979797979797979710e-02,2.603194994247655547e+00
2.969696969696969391e-02,2.969696969696969391e-02,2.593152032066628365e+00
2.969696969696969391e-02,3.959595959595959419e-02,2.583110206380553553e+00
2.969696969696969391e-02,4.949494949494949447e-02,2.573069532140827675e+00
2.969696969696969391e-02,5.939393939393938782e-02,2.563030024559953546e+00
2.969696969696969391e-02,6.929292929292929504e-02,2.552991699117153512e+00
2.969696969696969391e-02,7.919191919191918838e-02,2.542954571564223887e+00
2.969696969696969391e-02,8.909090909090908172e-02,2.532918657931451101e+00
2.969696969696969391e-02,9.898989898989898895e-02,2.522883974533802753e+00
2.969696969696969391e-02,1.088888888888888823e-01,2.512850537977127541e+00
2.969696969696969391e-02,1.187878787878787756e-01,2.502818365164654946e+00
2.969696969696969391e-02,1.286868686868686829e-01,2.492787473303565093e+00
2.969696969696969391e-02,1.385858585858585901e-01,2.482757879911838828e+00
2.969696969696969391e-02,1.484848484848484695e-01,2.472729602825157968e+00
2.969696969696969391e-02,1.583838383838383768e-01,2.462702660204108440e+00
2.969696969696969391e-02,1.682828282828282840e-01,2.452677070541515292e+00
2.969696969696969391e-02,1.781818181818181634e-01,2.442652852669978447e+00
2.969696969696969391e-02,1.880808080808080707e-01,2.432630025769618953e+00
2.969696969696969391e-02,1.979797979797979779e-01,2.422608609376068589e+00
2.969696969696969391e-02,2.078787878787878574e-01,2.412588623388622011e+00
2.969696969696969391e-02,2.177777777777777646e-01,2.402570088078619825e+00
2.969696969696969391e-02,2.276767676767676718e-01,2.392553024098113656e+00
2.969696969696969391e-02,2.375757575757575513e-01,2.382537452488712404e+00
2.969696969696969391e-02,2.474747474747474585e-01,2.372523394690708720e+00
2.969696969696969391e-02,2.573737373737373657e-01,2.362510872552431085e+00
2.969696969696969391e-02,2.672727272727272729e-01,2.352499908339887202e+00
2.969696969696969391e-02,2.771717171717171802e-01,2.342490524746659197e+00
2.969696969696969391e-02,2.870707070707070319e-01,2.332482744904067484e+00
2.969696969696969391e-02,2.969696969696969391e-01,2.322476592391649053e+00
2.969696969696969391e-02,3.068686868686868463e-01,2.312472091247921746e+00
2.969696969696969391e-02,3.167676767676767535e-01,2.302469265981438973e+00
2.969696969696969391e-02,3.266666666666666607e-01,2.292468141582183705e+00
2.969696969696969391e-02,3.365656565656565680e-01,2.282468743533284883e+00
2.969696969696969391e-02,3.464646464646464752e-01,2.272471097823052677e+00
2.969696969696969391e-02,3.563636363636363269e-01,2.262475230957396999e+00
2.969696969696969391e-02,3.662626262626262341e-01,2.252481169972571085e+00
2.969696969696969391e-02,3.761616161616161413e-01,2.242488942448324529e+00
2.969696969696969391e-02,3.860606060606060486e-01,2.232498576521394718e+00
2.969696969696969391e-02,3.959595959595959558e-01,2.222510100899451668e+00
2.969696969696969391e-02,4.058585858585858630e-01,2.212523544875400816e+00
2.969696969696969391e-02,4.157575757575757147e-01,2.202538938342174735e+00
2.969696969696969391e-02,4.256565656565656219e-01,2.192556311807878799e+00
2.969696969696969391e-02,4.355555555555555292e-01,2.182575696411490629e+00
2.969696969696969391e-02,4.454545454545454364e-01,2.172597123938955210e+00
2.969696969696969391e-02,4.553535353535353436e-01,2.162620626839794724e+00
2.969696969696969391e-02,4.652525252525252508e-01,2.152646238244239285e+00
2.969696969696969391e-02,4.751515151515151025e-01,2.142673991980848847e+00
2.969696969696969391e-02,4.850505050505050098e-01,2.132703922594685775e+00
2.969696969696969391e-02,4.949494949494949170e-01,2.122736065366064295e+00
2.969696969696969391e-02,5.048484848484848797e-01,2.112770456329848834e+00
2.969696969696969391e-02,5.147474747474747314e-01,2.102807132295392734e+00
2.969696969696969391e-02,5.246464646464645831e-01,2.092846130867033416e+00
2.969696969696969391e-02,5.345454545454545459e-01,2.082887490465302971e+00
2.969696969696969391e-02,5.444444444444443976e-01,2.072931250348745813e+00
