# day, deaths
0.000000000000000000e+00,3.637896521151463821e+04
1.000000000000000000e+00,3.637896521151463821e+04
2.000000000000000000e+00,3.637896969911377528e+04
3.000000000000000000e+00,3.637897728448809357e+04
4.000000000000000000e+00,3.637898688592214603e+04
5.000000000000000000e+00,3.637899772393009334e+04
6.000000000000000000e+00,3.637900926428855746e+04
7.000000000000000000e+00,3.637902115513556055e+04
8.000000000000000000e+00,3.637903317326768592e+04
9.000000000000000000e+00,3.637904518334061140e+04
1.000000000000000000e+01,3.637905710882518906e+04
1.100000000000000000e+01,3.637906891215320502e+04
1.200000000000000000e+01,3.637908058151781006e+04
1.300000000000000000e+01,3.637909212229291006e+04
1.400000000000000000e+01,3.637910355157488812e+04
1.500000000000000000e+01,3.637911489480883756e+04
1.600000000000000000e+01,3.637912618379542982e+04
1.700000000000000000e+01,3.637913745560943789e+04
1.800000000000000000e+01,3.637914875213074265e+04
1.900000000000000000e+01,3.637916011998680187e+04
2.000000000000000000e+01,3.637917161079014477e+04
2.100000000000000000e+01,3.637918328158714576e+04
2.200000000000000000e+01,3.637919519548044627e+04
2.300000000000000000e+01,3.637920742239676474e+04
2.400000000000000000e+01,3.637922003999407752e+04
2.500000000000000000e+01,3.637923313470478752e+04
2.600000000000000000e+01,3.637924680292282574e+04
2.700000000000000000e+01,3.637926115235105681e+04
2.800000000000000000e+01,3.637927630351886910e+04
2.900000000000000000e+01,3.637929239149560453e+04
3.000000000000000000e+01,3.637930956782209978e+04
3.100000000000000000e+01,3.637932800268776191e+04
3.200000000000000000e+01,3.637934788738821226e+04
3.300000000000000000e+01,3.637936943709391926e+04
3.400000000000000000e+01,3.637939289397659741e+04
3.500000000000000000e+01,3.637941853073575476e+04
3.600000000000000000e+01,3.637944665457980591e+04
3.700000000000000000e+01,3.637947761171851016e+04
3.800000000000000000e+01,3.637951179243537626e+04
3.900000000000000000e+01,3.637954963681267691e+04
4.000000000000000000e+01,3.637959164119543857e+04
4.100000000000000000e+01,3.637963836548832478e+04
4.200000000000000000e+01,3.637969044139382459e+04
4.300000000000000000e+01,3.637974858171195228e+04
4.400000000000000000e+01,3.637981359083911229e+04
4.500000000000000000e+01,3.637988637661919347e+04
4.600000000000000000e+01,3.637996796372137032e+04
