# day, deaths
0.000000000000000000e+00,3.981079215352184110e+04
1.000000000000000000e+00,3.981079215352184110e+04
2.000000000000000000e+00,3.981079222363636654e+04
3.000000000000000000e+00,3.981079230666522926e+04
4.000000000000000000e+00,3.981079240085014317e+04
5.000000000000000000e+00,3.981079250532011065e+04
6.000000000000000000e+00,3.981079261985501216e+04
7.000000000000000000e+00,3.981079274472332327e+04
8.000000000000000000e+00,3.981079288057624944e+04
9.000000000000000000e+00,3.981079302838291187e+04
1.000000000000000000e+01,3.981079318939713266e+04
1.100000000000000000e+01,3.981079336514005263e+04
1.200000000000000000e+01,3.981079355740245956e+04
1.300000000000000000e+01,3.981079376825565123e+04
1.400000000000000000e+01,3.981079400007292861e+04
1.500000000000000000e+01,3.981079425555840135e+04
1.600000000000000000e+01,3.981079453778195602e+04
1.700000000000000000e+01,3.981079485022327572e+04
1.800000000000000000e+01,3.981079519682109822e+04
1.900000000000000000e+01,3.981079558202913904e+04
2.000000000000000000e+01,3.981079601088333584e+04
2.100000000000000000e+01,3.981079648907458613e+04
2.200000000000000000e+01,3.981079702303325030e+04
2.300000000000000000e+01,3.981079762002388452e+04
2.400000000000000000e+01,3.981079828825352888e+04
2.500000000000000000e+01,3.981079903699261195e+04
2.600000000000000000e+01,3.981079987671289564e+04
2.700000000000000000e+01,3.981080081924230035e+04
2.800000000000000000e+01,3.981080187794069934e+04
2.900000000000000000e+01,3.981080306789757742e+04
3.000000000000000000e+01,3.981080440615666157e+04
3.100000000000000000e+01,3.981080591196773457e+04
3.200000000000000000e+01,3.981080760707263835e+04
3.300000000000000000e+01,3.981080951602788991e+04
3.400000000000000000e+01,3.981081166656897403e+04
3.500000000000000000e+01,3.981081409002096916e+04
3.600000000000000000e+01,3.981081682176378672e+04
3.700000000000000000e+01,3.981081990175660758e+04
3.800000000000000000e+01,3.981082337513056700e+04
3.900000000000000000e+01,3.981082729285728419e+04
4.000000000000000000e+01,3.981083171250531450e+04
4.100000000000000000e+01,3.981083669909256423e+04
4.200000000000000000e+01,3.981084232605098805e+04
4.300000000000000000e+01,3.981084867631304951e+04
4.400000000000000000e+01,3.981085584354196908e+04
4.500000000000000000e+01,3.981086393351767038e+04
4.600000000000000000e+01,3.981087306570343208e+04
4.700000000000000000e+01,3.981088337501447677e+04
4.800000000000000000e+01,3.981089501381364244e+04
4.900000000000000000e+01,3.981090815416559781e+04
5.000000000000000000e+01,3.981092299038009514e+04
5.100000000000000000e+01,3.981093974188372522e+04
5.200000000000000000e+01,3.981095865645974845e+04
5.300000000000000000e+01,3.981098001390640275e+04
5.400000000000000000e+01,3.981100413016203674e+04
5.500000000000000000e+01,3.981103136196147534e+04
5.600000000000000000e+01,3.981106211208800960e+04
5.700000000000000000e+01,3.981109683529668837e+04
5.800000000000000000e+01,3.981113604499484063e+04
5.900000000000000000e+01,3.981118032077376847e+04
6.000000000000000000e+01,3.981123031689735944e+04
6.100000000000000000e+01,3.981128677187082940e+04
6.200000000000000000e+01,3.981135051921741251e+04
6.300000000000000000e+01,3.981142249961725611e+04
6.400000000000000000e+01,3.981150377457145078e+04
6.500000000000000000e+01,3.981159554177989776e+04
6.600000000000000000e+01,3.981169915243565629e+04
6.700000000000000000e+01,3.981181613066609134e+04
6.800000000000000000e+01,3.981194819537543663e+04
6.900000000000000000e+01,3.981209728476210148e+04
7.000000000000000000e+01,3.981226558382276562e+04
