# xI, xA, R0
0.000000000000000000e+00,0.000000000000000000e+00,1.500484116590634187e+00
0.000000000000000000e+00,9.898989898989898548e-03,1.494235032915261829e+00
0.000000000000000000e+00,1.979797979797979710e-02,1.487986158160529593e+00
0.000000000000000000e+00,2.969696969696969391e-02,1.481737495017355410e+00
0.000000000000000000e+00,3.959595959595959419e-02,1.475489046222956846e+00
0.000000000000000000e+00,4.949494949494949447e-02,1.469240814561854291e+00
0.000000000000000000e+00,5.939393939393938782e-02,1.462992802866893927e+00
0.000000000000000000e+00,6.929292929292929504e-02,1.456745014020291329e+00
0.000000000000000000e+00,7.919191919191918838e-02,1.450497450954724377e+00
0.000000000000000000e+00,8.909090909090908172e-02,1.444250116654423932e+00
0.000000000000000000e+00,9.898989898989898895e-02,1.438003014156313597e+00
0.000000000000000000e+00,1.088888888888888823e-01,1.431756146551178555e+00
0.000000000000000000e+00,1.187878787878787756e-01,1.425509516984864833e+00
0.000000000000000000e+00,1.286868686868686829e-01,1.419263128659501438e+00
0.000000000000000000e+00,1.385858585858585901e-01,1.413016984834754908e+00
0.000000000000000000e+00,1.484848484848484695e-01,1.406771088829147587e+00
0.000000000000000000e+00,1.583838383838383768e-01,1.400525444021363919e+00
0.000000000000000000e+00,1.682828282828282840e-01,1.394280053851623791e+00
0.000000000000000000e+00,1.781818181818181634e-01,1.388034921823102064e+00
0.000000000000000000e+00,1.880808080808080707e-01,1.381790051503348105e+00
0.000000000000000000e+00,1.979797979797979779e-01,1.375545446525778148e+00
0.000000000000000000e+00,2.078787878787878574e-01,1.369301110591202297e+00
0.000000000000000000e+00,2.177777777777777646e-01,1.363057047469384164e+00
0.000000000000000000e+00,2.276767676767676718e-01,1.356813261000653137e+00
0.000000000000000000e+00,2.375757575757575513e-01,1.350569755097559277e+00
0.000000000000000000e+00,2.474747474747474585e-01,1.344326533746564856e+00
0.000000000000000000e+00,2.573737373737373657e-01,1.338083601009810941e+00
0.000000000000000000e+00,2.672727272727272729e-01,1.331840961026906189e+00
0.000000000000000000e+00,2.771717171717171802e-01,1.325598618016772035e+00
0.000000000000000000e+00,2.870707070707070319e-01,1.319356576279554494e+00
0.000000000000000000e+00,2.969696969696969391e-01,1.313114840198584155e+00
