# xI, xA, R0
0.000000000000000000e+00,0.000000000000000000e+00,1.745622356110888562e+00
0.000000000000000000e+00,9.898989898989898548e-03,1.739337696851090520e+00
0.000000000000000000e+00,1.979797979797979710e-02,1.733055370691460872e+00
0.000000000000000000e+00,2.969696969696969391e-02,1.726775411774725377e+00
0.000000000000000000e+00,3.959595959595959419e-02,1.720497854880159494e+00
0.000000000000000000e+00,4.949494949494949447e-02,1.714222735437498368e+00
0.000000000000000000e+00,5.939393939393938782e-02,1.707950089541296457e+00
0.000000000000000000e+00,6.929292929292929504e-02,1.701679953965567815e+00
0.000000000000000000e+00,7.919191919191918838e-02,1.695412366178790986e+00
0.000000000000000000e+00,8.909090909090908172e-02,1.689147364359306236e+00
0.000000000000000000e+00,9.898989898989898895e-02,1.682884987411052746e+00
0.000000000000000000e+00,1.088888888888888823e-01,1.676625274979704372e+00
0.000000000000000000e+00,1.187878787878787756e-01,1.670368267469211965e+00
0.000000000000000000e+00,1.286868686868686829e-01,1.664114006058696749e+00
0.000000000000000000e+00,1.385858585858585901e-01,1.657862532719814208e+00
0.000000000000000000e+00,1.484848484848484695e-01,1.651613890234502779e+00
0.000000000000000000e+00,1.583838383838383768e-01,1.645368122213168194e+00
0.000000000000000000e+00,1.682828282828282840e-01,1.639125273113305248e+00
0.000000000000000000e+00,1.781818181818181634e-01,1.632885388258576098e+00
0.000000000000000000e+00,1.880808080808080707e-01,1.626648513858375056e+00
0.000000000000000000e+00,1.979797979797979779e-01,1.620414697027794393e+00
0.000000000000000000e+00,2.078787878787878574e-01,1.614183985808159694e+00
0.000000000000000000e+00,2.177777777777777646e-01,1.607956429187976877e+00
0.000000000000000000e+00,2.276767676767676718e-01,1.601732077124464526e+00
0.000000000000000000e+00,2.375757575757575513e-01,1.595510980565515213e+00
0.000000000000000000e+00,2.474747474747474585e-01,1.589293191472277211e+00
0.000000000000000000e+00,2.573737373737373657e-01,1.583078762842192955e+00
0.000000000000000000e+00,2.672727272727272729e-01,1.576867748732615482e+00
0.000000000000000000e+00,2.771717171717171802e-01,1.570660204285035277e+00
