# xI, xA, R0
0.000000000000000000e+00,0.000000000000000000e+00,1.804775761891521890e+00
0.000000000000000000e+00,9.898989898989898548e-03,1.797025769387724736e+00
0.000000000000000000e+00,1.979797979797979710e-02,1.789276204073943832e+00
0.000000000000000000e+00,2.969696969696969391e-02,1.781527071362505765e+00
0.000000000000000000e+00,3.959595959595959419e-02,1.773778376756809161e+00
0.000000000000000000e+00,4.949494949494949447e-02,1.766030125853255806e+00
0.000000000000000000e+00,5.939393939393938782e-02,1.758282324343177772e+00
0.000000000000000000e+00,6.929292929292929504e-02,1.750534978014863352e+00
0.000000000000000000e+00,7.919191919191918838e-02,1.742788092755608087e+00
0.000000000000000000e+00,8.909090909090908172e-02,1.735041674553805091e+00
0.000000000000000000e+00,9.898989898989898895e-02,1.727295729501138410e+00
0.000000000000000000e+00,1.088888888888888823e-01,1.719550263794760836e+00
0.000000000000000000e+00,1.187878787878787756e-01,1.711805283739612049e+00
0.000000000000000000e+00,1.286868686868686829e-01,1.704060795750712121e+00
0.000000000000000000e+00,1.385858585858585901e-01,1.696316806355570250e+00
0.000000000000000000e+00,1.484848484848484695e-01,1.688573322196630588e+00
0.000000000000000000e+00,1.583838383838383768e-01,1.680830350033808873e+00
0.000000000000000000e+00,1.682828282828282840e-01,1.673087896747064152e+00
0.000000000000000000e+00,1.781818181818181634e-01,1.665345969339038668e+00
0.000000000000000000e+00,1.880808080808080707e-01,1.657604574937794784e+00
0.000000000000000000e+00,1.979797979797979779e-01,1.649863720799604305e+00
0.000000000000000000e+00,2.078787878787878574e-01,1.642123414311832397e+00
0.000000000000000000e+00,2.177777777777777646e-01,1.634383662995851694e+00
0.000000000000000000e+00,2.276767676767676718e-01,1.626644474510084759e+00
0.000000000000000000e+00,2.375757575757575513e-01,1.618905856653105380e+00
0.000000000000000000e+00,2.474747474747474585e-01,1.611167817366835786e+00
0.000000000000000000e+00,2.573737373737373657e-01,1.603430364739803604e+00
0.000000000000000000e+00,2.672727272727272729e-01,1.595693507010524037e+00
0.000000000000000000e+00,2.771717171717171802e-01,1.587957252570951550e+00
0.000000000000000000e+00,2.870707070707070319e-01,1.580221609970033025e+00
0.000000000000000000e+00,2.969696969696969391e-01,1.572486587917340417e+00
0.000000000000000000e+00,3.068686868686868463e-01,1.564752195286853276e+00
0.000000000000000000e+00,3.167676767676767535e-01,1.557018441120806118e+00
0.000000000000000000e+00,3.266666666666666607e-01,1.549285334633605515e+00
0.000000000000000000e+00,3.365656565656565680e-01,1.541552885215987434e+00
0.000000000000000000e+00,3.464646464646464752e-01,1.533821102439141271e+00
0.000000000000000000e+00,3.563636363636363269e-01,1.526089996059045273e+00
0.000000000000000000e+00,3.662626262626262341e-01,1.518359576020894330e+00
0.000000000000000000e+00,3.761616161616161413e-01,1.510629852463651002e+00
0.000000000000000000e+00,3.860606060606060486e-01,1.502900835724751527e+00
0.000000000000000000e+00,3.959595959595959558e-01,1.495172536344899994e+00
0.000000000000000000e+00,4.058585858585858630e-01,1.487444965073056125e+00
0.000000000000000000e+00,4.157575757575757147e-01,1.479718132871551184e+00
0.000000000000000000e+00,4.256565656565656219e-01,1.471992050921312245e+00
0.000000000000000000e+00,4.355555555555555292e-01,1.464266730627294733e+00
0.000000000000000000e+00,4.454545454545454364e-01,1.456542183624059739e+00
0.000000000000000000e+00,4.553535353535353436e-01,1.448818421781487231e+00
0.000000000000000000e+00,4.652525252525252508e-01,1.441095457210703534e+00
0.000000000000000000e+00,4.751515151515151025e-01,1.433373302270160465e+00
0.000000000000000000e+00,4.850505050505050098e-01,1.425651969571879452e+00
0.000000000000000000e+00,4.949494949494949170e-01,1.417931471987951220e+00
0.000000000000000000e+00,5.048484848484848797e-01,1.410211822657126302e+00
0.000000000000000000e+00,5.147474747474747314e-01,1.402493034991717957e+00
0.000000000000000000e+00,5.246464646464645831e-01,1.394775122684642543e+00
0.000000000000000000e+00,5.345454545454545459e-01,1.387058099716688364e+00
0.000000000000000000e+00,5.444444444444443976e-01,1.379341980364043208e+00
0.000000000000000000e+00,5.543434343434343603e-01,1.371626779206011948e+00
0.000000000000000000e+00,5.642424242424242120e-01,1.363912511132992611e+00
0.000000000000000000e+00,5.741414141414140637e-01,1.356199191354716671e+00
0.000000000000000000e+00,5.840404040404040265e-01,1.348486835408710949e+00
0.000000000000000000e+00,5.939393939393938782e-01,1.340775459169085693e+00
0.000000000000000000e+00,6.038383838383838409e-01,1.333065078855516727e+00
0.000000000000000000e+00,6.137373737373736926e-01,1.325355711042605300e+00
0.000000000000000000e+00,6.236363636363636553e-01,1.317647372669462191e+00
0.000000000000000000e+00,6.335353535353535070e-01,1.309940081049670635e+00
0.000000000000000000e+00,6.434343434343433588e-01,1.302233853881497705e+00
0.000000000000000000e+00,6.533333333333333215e-01,1.294528709258486066e+00
0.000000000000000000e+00,6.632323232323231732e-01,1.286824665680383228e+00
0.000000000000000000e+00,6.731313131313131359e-01,1.279121742064423639e+00
0.000000000000000000e+00,6.830303030303029876e-01,1.271419957756977137e+00
0.000000000000000000e+00,6.929292929292929504e-01,1.263719332545602647e+00
0.000000000000000000e+00,7.028282828282828021e-01,1.256019886671478680e+00
0.000000000000000000e+00,7.127272727272726538e-01,1.248321640842258828e+00
0.000000000000000000e+00,7.226262626262626165e-01,1.240624616245378009e+00
0.000000000000000000e+00,7.325252525252524682e-01,1.232928834561773268e+00
0.000000000000000000e+00,7.424242424242424310e-01,1.225234317980101517e+00
0.000000000000000000e+00,7.523232323232322827e-01,1.217541089211420235e+00
0.000000000000000000e+00,7.622222222222221344e-01,1.209849171504390863e+00
0.000000000000000000e+00,7.721212121212120971e-01,1.202158588660983352e+00
0.000000000000000000e+00,7.820202020202019488e-01,1.194469365052743148e+00
0.000000000000000000e+00,7.919191919191919116e-01,1.186781525637618850e+00
0.000000000000000000e+00,8.018181818181817633e-01,1.179095095977368723e+00
0.000000000000000000e+00,8.117171717171717260e-01,1.171410102255598495e+00
0.000000000000000000e+00,8.216161616161615777e-01,1.163726571296413326e+00
0.000000000000000000e+00,8.315151515151514294e-01,1.156044530583742791e+00
0.000000000000000000e+00,8.414141414141413922e-01,1.148364008281362869e+00
0.000000000000000000e+00,8.513131313131312439e-01,1.140685033253623804e+00
0.000000000000000000e+00,8.612121212121212066e-01,1.133007635086930254e+00
0.000000000000000000e+00,8.711111111111110583e-01,1.125331844111983060e+00
0.000000000000000000e+00,8.810101010101010210e-01,1.117657691426875211e+00
0.000000000000000000e+00,8.909090909090908728e-01,1.109985208920976296e+00
0.000000000000000000e+00,9.008080808080807245e-01,1.102314429299723342e+00
0.000000000000000000e+00,9.107070707070706872e-01,1.094645386110352447e+00
0.000000000000000000e+00,9.206060606060605389e-01,1.086978113768519050e+00
0.000000000000000000e+00,9.305050505050505016e-01,1.079312647585992879e+00
0.000000000000000000e+00,9.404040404040403534e-01,1.071649023799317924e+00
0.000000000000000000e+00,9.503030303030302051e-01,1.063987279599622138e+00
0.000000000000000000e+00,9.602020202020201678e-01,1.056327453163480090e+00
