# xI, xA, R0
0.000000000000000000e+00,0.000000000000000000e+00,2.001894594872660971e+00
0.000000000000000000e+00,9.898989898989898548e-03,1.993826606019609038e+00
0.000000000000000000e+00,1.979797979797979710e-02,1.985758858965993134e+00
0.000000000000000000e+00,2.969696969696969391e-02,1.977691356715243653e+00
0.000000000000000000e+00,3.959595959595959419e-02,1.969624102320690184e+00
0.000000000000000000e+00,4.949494949494949447e-02,1.961557098886651751e+00
0.000000000000000000e+00,5.939393939393938782e-02,1.953490349569461326e+00
0.000000000000000000e+00,6.929292929292929504e-02,1.945423857578596261e+00
0.000000000000000000e+00,7.919191919191918838e-02,1.937357626177754977e+00
0.000000000000000000e+00,8.909090909090908172e-02,1.929291658686054678e+00
0.000000000000000000e+00,9.898989898989898895e-02,1.921225958479185758e+00
0.000000000000000000e+00,1.088888888888888823e-01,1.913160528990623943e+00
0.000000000000000000e+00,1.187878787878787756e-01,1.905095373712884399e+00
0.000000000000000000e+00,1.286868686868686829e-01,1.897030496198792937e+00
0.000000000000000000e+00,1.385858585858585901e-01,1.888965900062771430e+00
0.000000000000000000e+00,1.484848484848484695e-01,1.880901588982210271e+00
0.000000000000000000e+00,1.583838383838383768e-01,1.872837566698824396e+00
0.000000000000000000e+00,1.682828282828282840e-01,1.864773837020083258e+00
0.000000000000000000e+00,1.781818181818181634e-01,1.856710403820637900e+00
0.000000000000000000e+00,1.880808080808080707e-01,1.848647271043837081e+00
0.000000000000000000e+00,1.979797979797979779e-01,1.840584442703232071e+00
0.000000000000000000e+00,2.078787878787878574e-01,1.832521922884157162e+00
0.000000000000000000e+00,2.177777777777777646e-01,1.824459715745356592e+00
0.000000000000000000e+00,2.276767676767676718e-01,1.816397825520600584e+00
0.000000000000000000e+00,2.375757575757575513e-01,1.808336256520437946e+00
0.000000000000000000e+00,2.474747474747474585e-01,1.800275013133901592e+00
0.000000000000000000e+00,2.573737373737373657e-01,1.792214099830318430e+00
0.000000000000000000e+00,2.672727272727272729e-01,1.784153521161168321e+00
0.000000000000000000e+00,2.771717171717171802e-01,1.776093281761949472e+00
0.000000000000000000e+00,2.870707070707070319e-01,1.768033386354162184e+00
0.000000000000000000e+00,2.969696969696969391e-01,1.759973839747290159e+00
0.000000000000000000e+00,3.068686868686868463e-01,1.751914646840864176e+00
0.000000000000000000e+00,3.167676767676767535e-01,1.743855812626586399e+00
0.000000000000000000e+00,3.266666666666666607e-01,1.735797342190496639e+00
0.000000000000000000e+00,3.365656565656565680e-01,1.727739240715233660e+00
0.000000000000000000e+00,3.464646464646464752e-01,1.719681513482315127e+00
0.000000000000000000e+00,3.563636363636363269e-01,1.711624165874532144e+00
0.000000000000000000e+00,3.662626262626262341e-01,1.703567203378364869e+00
0.000000000000000000e+00,3.761616161616161413e-01,1.695510631586518047e+00
0.000000000000000000e+00,3.860606060606060486e-01,1.687454456200478958e+00
0.000000000000000000e+00,3.959595959595959558e-01,1.679398683033210160e+00
0.000000000000000000e+00,4.058585858585858630e-01,1.671343318011852874e+00
0.000000000000000000e+00,4.157575757575757147e-01,1.663288367180573823e+00
0.000000000000000000e+00,4.256565656565656219e-01,1.655233836703447148e+00
0.000000000000000000e+00,4.355555555555555292e-01,1.647179732867472657e+00
0.000000000000000000e+00,4.454545454545454364e-01,1.639126062085629165e+00
0.000000000000000000e+00,4.553535353535353436e-01,1.631072830900061721e+00
0.000000000000000000e+00,4.652525252525252508e-01,1.623020045985360316e+00
0.000000000000000000e+00,4.751515151515151025e-01,1.614967714151911204e+00
0.000000000000000000e+00,4.850505050505050098e-01,1.606915842349390999e+00
0.000000000000000000e+00,4.949494949494949170e-01,1.598864437670341143e+00
0.000000000000000000e+00,5.048484848484848797e-01,1.590813507353857403e+00
0.000000000000000000e+00,5.147474747474747314e-01,1.582763058789400823e+00
0.000000000000000000e+00,5.246464646464645831e-01,1.574713099520737236e+00
0.000000000000000000e+00,5.345454545454545459e-01,1.566663637249978258e+00
0.000000000000000000e+00,5.444444444444443976e-01,1.558614679841755057e+00
0.000000000000000000e+00,5.543434343434343603e-01,1.550566235327560660e+00
