# x, r_0
0.000000000000000000e+00,1.210486798500392869e+00
9.898989898989898548e-03,1.208700816659001642e+00
1.979797979797979710e-02,1.206915072923147036e+00
2.969696969696969391e-02,1.205129568093352255e+00
3.959595959595959419e-02,1.203344302974962643e+00
4.949494949494949447e-02,1.201559278378185880e+00
5.939393939393938782e-02,1.199774495118113293e+00
6.929292929292929504e-02,1.197989954014785141e+00
7.919191919191918838e-02,1.196205655893177067e+00
8.909090909090908172e-02,1.194421601583287362e+00
9.898989898989898895e-02,1.192637791920135859e+00
1.088888888888888823e-01,1.190854227743811222e+00
1.187878787878787756e-01,1.189070909899519357e+00
1.286868686868686829e-01,1.187287839237587406e+00
1.385858585858585901e-01,1.185505016613544793e+00
1.484848484848484695e-01,1.183722442888128779e+00
1.583838383838383768e-01,1.181940118927324868e+00
1.682828282828282840e-01,1.180158045602408112e+00
1.781818181818181634e-01,1.178376223789991073e+00
1.880808080808080707e-01,1.176594654372047133e+00
1.979797979797979779e-01,1.174813338235959570e+00
2.078787878787878574e-01,1.173032276274553531e+00
2.177777777777777646e-01,1.171251469386133559e+00
2.276767676767676718e-01,1.169470918474537102e+00
2.375757575757575513e-01,1.167690624449155168e+00
2.474747474747474585e-01,1.165910588224988942e+00
2.573737373737373657e-01,1.164130810722674214e+00
2.672727272727272729e-01,1.162351292868541552e+00
2.771717171717171802e-01,1.160572035594637841e+00
2.870707070707070319e-01,1.158793039838783123e+00
2.969696969696969391e-01,1.157014306544600135e+00
3.068686868686868463e-01,1.155235836661570037e+00
3.167676767676767535e-01,1.153457631145064610e+00
3.266666666666666607e-01,1.151679690956382007e+00
3.365656565656565680e-01,1.149902017062816473e+00
3.464646464646464752e-01,1.148124610437671445e+00
3.563636363636363269e-01,1.146347472060321060e+00
3.662626262626262341e-01,1.144570602916254565e+00
3.761616161616161413e-01,1.142794003997112506e+00
3.860606060606060486e-01,1.141017676300741357e+00
3.959595959595959558e-01,1.139241620831219715e+00
4.058585858585858630e-01,1.137465838598942014e+00
4.157575757575757147e-01,1.135690330620615196e+00
4.256565656565656219e-01,1.133915097919348192e+00
4.355555555555555292e-01,1.132140141524668797e+00
4.454545454545454364e-01,1.130365462472599836e+00
4.553535353535353436e-01,1.128591061805668705e+00
4.652525252525252508e-01,1.126816940573002190e+00
4.751515151515151025e-01,1.125043099830324245e+00
4.850505050505050098e-01,1.123269540640047914e+00
4.949494949494949170e-01,1.121496264071305315e+00
5.048484848484848797e-01,1.119723271199995818e+00
5.147474747474747314e-01,1.117950563108838669e+00
5.246464646464645831e-01,1.116178140887424508e+00
5.345454545454545459e-01,1.114406005632275098e+00
5.444444444444443976e-01,1.112634158446872856e+00
5.543434343434343603e-01,1.110862600441731907e+00
5.642424242424242120e-01,1.109091332734446489e+00
5.741414141414140637e-01,1.107320356449742471e+00
5.840404040404040265e-01,1.105549672719522203e+00
5.939393939393938782e-01,1.103779282682931351e+00
6.038383838383838409e-01,1.102009187486396868e+00
6.137373737373736926e-01,1.100239388283705599e+00
6.236363636363636553e-01,1.098469886236039805e+00
6.335353535353535070e-01,1.096700682512035119e+00
6.434343434343433588e-01,1.094931778287840274e+00
6.533333333333333215e-01,1.093163174747173061e+00
6.632323232323231732e-01,1.091394873081371841e+00
6.731313131313131359e-01,1.089626874489466601e+00
6.830303030303029876e-01,1.087859180178216256e+00
6.929292929292929504e-01,1.086091791362187919e+00
7.028282828282828021e-01,1.084324709263802422e+00
7.127272727272726538e-01,1.082557935113388936e+00
7.226262626262626165e-01,1.080791470149270461e+00
7.325252525252524682e-01,1.079025315617783143e+00
7.424242424242424310e-01,1.077259472773381743e+00
7.523232323232322827e-01,1.075493942878669174e+00
7.622222222222221344e-01,1.073728727204462885e+00
7.721212121212120971e-01,1.071963827029871918e+00
7.820202020202019488e-01,1.070199243642355746e+00
7.919191919191919116e-01,1.068434978337762242e+00
8.018181818181817633e-01,1.066671032420431153e+00
8.117171717171717260e-01,1.064907407203230516e+00
8.216161616161615777e-01,1.063144104007633706e+00
8.315151515151514294e-01,1.061381124163777834e+00
8.414141414141413922e-01,1.059618469010535025e+00
8.513131313131312439e-01,1.057856139895579695e+00
8.612121212121212066e-01,1.056094138175452057e+00
8.711111111111110583e-01,1.054332465215628512e+00
8.810101010101010210e-01,1.052571122390586922e+00
8.909090909090908728e-01,1.050810111083883225e+00
9.008080808080807245e-01,1.049049432688206274e+00
9.107070707070706872e-01,1.047289088605467100e+00
9.206060606060605389e-01,1.045529080246858644e+00
9.305050505050505016e-01,1.043769409032921702e+00
9.404040404040403534e-01,1.042010076393627083e+00
9.503030303030302051e-01,1.040251083768445106e+00
9.602020202020201678e-01,1.038492432606425320e+00
9.701010101010100195e-01,1.036734124366242904e+00
9.799999999999999822e-01,1.034976160516322574e+00
