# x, r_0
0.000000000000000000e+00,2.083108668508379058e+00
9.898989898989898548e-03,2.080227416000553387e+00
1.979797979797979710e-02,2.077346527434436041e+00
2.969696969696969391e-02,2.074466004365237648e+00
3.959595959595959419e-02,2.071585848356736648e+00
4.949494949494949447e-02,2.068706060981339689e+00
5.939393939393938782e-02,2.065826643820112718e+00
6.929292929292929504e-02,2.062947598462868459e+00
7.919191919191918838e-02,2.060068926508206832e+00
8.909090909090908172e-02,2.057190629563568240e+00
9.898989898989898895e-02,2.054312709245323720e+00
1.088888888888888823e-01,2.051435167178783381e+00
1.187878787878787756e-01,2.048558004998296322e+00
1.286868686868686829e-01,2.045681224347312366e+00
1.385858585858585901e-01,2.042804826878403368e+00
1.484848484848484695e-01,2.039928814253366252e+00
1.583838383838383768e-01,2.037053188143253646e+00
1.682828282828282840e-01,2.034177950228458709e+00
1.781818181818181634e-01,2.031303102198771526e+00
1.880808080808080707e-01,2.028428645753419968e+00
1.979797979797979779e-01,2.025554582601161169e+00
2.078787878787878574e-01,2.022680914460344592e+00
2.177777777777777646e-01,2.019807643058952440e+00
2.276767676767676718e-01,2.016934770134678256e+00
2.375757575757575513e-01,2.014062297434997539e+00
2.474747474747474585e-01,2.011190226717229912e+00
2.573737373737373657e-01,2.008318559748590193e+00
2.672727272727272729e-01,2.005447298306281212e+00
2.771717171717171802e-01,2.002576444177546655e+00
2.870707070707070319e-01,1.999705999159725689e+00
2.969696969696969391e-01,1.996835965060346885e+00
3.068686868686868463e-01,1.993966343697187948e+00
3.167676767676767535e-01,1.991097136898331676e+00
3.266666666666666607e-01,1.988228346502246557e+00
3.365656565656565680e-01,1.985359974357863821e+00
3.464646464646464752e-01,1.982492022324634728e+00
3.563636363636363269e-01,1.979624492272604064e+00
3.662626262626262341e-01,1.976757386082498291e+00
3.761616161616161413e-01,1.973890705645767740e+00
3.860606060606060486e-01,1.971024452864697185e+00
3.959595959595959558e-01,1.968158629652434044e+00
4.058585858585858630e-01,1.965293237933111392e+00
4.157575757575757147e-01,1.962428279641884377e+00
4.256565656565656219e-01,1.959563756725022809e+00
4.355555555555555292e-01,1.956699671139991992e+00
4.454545454545454364e-01,1.953836024855505338e+00
4.553535353535353436e-01,1.950972819851626294e+00
4.652525252525252508e-01,1.948110058119834065e+00
4.751515151515151025e-01,1.945247741663104879e+00
4.850505050505050098e-01,1.942385872495991039e+00
4.949494949494949170e-01,1.939524452644701302e+00
5.048484848484848797e-01,1.936663484147164604e+00
5.147474747474747314e-01,1.933802969053142862e+00
5.246464646464645831e-01,1.930942909424279819e+00
5.345454545454545459e-01,1.928083307334202079e+00
5.444444444444443976e-01,1.925224164868599486e+00
5.543434343434343603e-01,1.922365484125300839e+00
5.642424242424242120e-01,1.919507267214361379e+00
5.741414141414140637e-01,1.916649516258142949e+00
5.840404040404040265e-01,1.913792233391412356e+00
5.939393939393938782e-01,1.910935420761411985e+00
6.038383838383838409e-01,1.908079080527953497e+00
6.137373737373736926e-01,1.905223214863499992e+00
6.236363636363636553e-01,1.902367825953262592e+00
6.335353535353535070e-01,1.899512915995280604e+00
6.434343434343433588e-01,1.896658487200507226e+00
6.533333333333333215e-01,1.893804541792911911e+00
6.632323232323231732e-01,1.890951082009564965e+00
6.731313131313131359e-01,1.888098110100715266e+00
6.830303030303029876e-01,1.885245628329908385e+00
6.929292929292929504e-01,1.882393638974054095e+00
7.028282828282828021e-01,1.879542144323532504e+00
7.127272727272726538e-01,1.876691146682286648e+00
7.226262626262626165e-01,1.873840648367918194e+00
7.325252525252524682e-01,1.870990651711782693e+00
7.424242424242424310e-01,1.868141159059062195e+00
7.523232323232322827e-01,1.865292172768918233e+00
7.622222222222221344e-01,1.862443695214520245e+00
7.721212121212120971e-01,1.859595728783204782e+00
7.820202020202019488e-01,1.856748275876526799e+00
7.919191919191919116e-01,1.853901338910397989e+00
8.018181818181817633e-01,1.851054920315158725e+00
8.117171717171717260e-01,1.848209022535689305e+00
8.216161616161615777e-01,1.845363648031523196e+00
8.315151515151514294e-01,1.842518799276928076e+00
8.414141414141413922e-01,1.839674478761044396e+00
8.513131313131312439e-01,1.836830688987934668e+00
8.612121212121212066e-01,1.833987432476746005e+00
8.711111111111110583e-01,1.831144711761784061e+00
8.810101010101010210e-01,1.828302529392627385e+00
8.909090909090908728e-01,1.825460887934235776e+00
9.008080808080807245e-01,1.822619789967057535e+00
9.107070707070706872e-01,1.819779238087147366e+00
9.206060606060605389e-01,1.816939234906262746e+00
9.305050505050505016e-01,1.814099783051983605e+00
9.404040404040403534e-01,1.811260885167826018e+00
9.503030303030302051e-01,1.808422543913350999e+00
9.602020202020201678e-01,1.805584761964270202e+00
9.701010101010100195e-01,1.802747542012589355e+00
9.799999999999999822e-01,1.799910886766685758e+00
